Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"22,202,000","22,401,000","23,443,000","17,656,000","17,470,000"
Cost of Revenue,"10,012,000","10,077,000","10,862,000","8,203,000","7,774,000"
Gross Profit,"12,190,000","12,324,000","12,581,000","9,453,000","9,696,000"
Operating Expense,"8,437,000","8,544,000","9,285,000","7,444,000","7,365,000"
Operating Income,"3,753,000","3,780,000","3,296,000","2,009,000","2,331,000"
Net Non Operating Interest Income Expense,"-1,947,000","-2,021,000","-2,177,000","-1,481,000","-1,318,000"
Other Income Expense,"-112,000","-6,525,000","-2,682,000","12,000","7,000"
Pretax Income,"1,694,000","-4,766,000","-1,563,000","540,000","1,020,000"
Tax Provision,"484,000","503,000","170,000","-849,000","394,000"
Net Income Common Stockholders,"1,210,000","-5,269,000","-1,733,000","1,389,000","626,000"
Diluted NI Available to Com Stockholders,"1,210,000","-5,269,000","-1,733,000","1,389,000","626,000"
Basic EPS,-,-,-0.0016,0.0022,0.0012
Diluted EPS,-,-,-0.0016,0.0022,0.0012
Basic Average Shares,-,-,"1,065,866","627,808","539,549"
Diluted Average Shares,-,-,"1,065,866","628,693","540,679"
Total Operating Income as Reported,"3,753,000","-2,726,000","570,000","2,009,000","2,331,000"
Total Expenses,"18,449,000","18,621,000","20,147,000","15,647,000","15,139,000"
Net Income from Continuing & Discontinued Operation,"1,210,000","-5,269,000","-1,733,000","1,389,000","626,000"
Normalized Income,"1,210,000","-519,620","256,980","1,389,000","626,000"
Interest Expense,"1,947,000","2,021,000","2,177,000","1,481,000","1,318,000"
Net Interest Income,"-1,947,000","-2,021,000","-2,177,000","-1,481,000","-1,318,000"
EBIT,"3,641,000","-2,745,000","614,000","2,021,000","2,338,000"
EBITDA,"8,442,000",-,-,-,-
Reconciled Cost of Revenue,"10,012,000","10,077,000","10,862,000","8,203,000","7,774,000"
Reconciled Depreciation,"4,801,000","4,829,000","5,120,000","3,936,000","3,916,000"
Net Income from Continuing Operation Net Minority Interest,"1,210,000","-5,269,000","-1,733,000","1,389,000","626,000"
Total Unusual Items Excluding Goodwill,0,"-6,506,000","-2,726,000",-,-
Total Unusual Items,0,"-6,506,000","-2,726,000",-,-
Normalized EBITDA,"8,442,000","8,590,000","8,460,000","5,957,000","6,254,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,"-1,756,620","-736,020",0,0
