Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"13,846,000","13,846,000","14,287,000","14,240,000","14,041,000"
Cost of Revenue,"8,575,000","8,575,000","8,521,000","8,402,000","8,391,000"
Gross Profit,"5,271,000","5,271,000","5,766,000","5,838,000","5,650,000"
Operating Expense,"4,687,000","4,687,000","4,476,000","5,650,000","4,764,000"
Operating Income,"584,000","584,000","1,290,000","188,000","886,000"
Net Non Operating Interest Income Expense,"-77,000","-77,000","-76,000","-74,000","-101,000"
Other Income Expense,"-823,000","-823,000","-5,768,000","-488,000","-527,000"
Pretax Income,"-316,000","-316,000","-4,554,000","-374,000","258,000"
Tax Provision,"-46,000","-46,000","408,000","-2,943,000","-270,000"
Net Income Common Stockholders,"-959,000","-959,000","-4,991,000","2,534,000","503,000"
Diluted NI Available to Com Stockholders,"-959,000","-959,000","-4,991,000","2,534,000","503,000"
Basic EPS,-,-,-0.0067,0.0034,0
Diluted EPS,-,-,-0.0067,0.0034,0
Basic Average Shares,-,-,"750,000","750,000","750,000"
Diluted Average Shares,-,-,"750,000","750,000","750,000"
Total Expenses,"13,262,000","13,262,000","12,997,000","14,052,000","13,155,000"
Net Income from Continuing & Discontinued Operation,"-959,000","-959,000","-4,991,000","2,534,000","503,000"
Normalized Income,"577,956","577,956","-780,360","2,826,800","819,200"
Interest Income,"59,000","59,000",-,-,-
Interest Expense,"136,000","136,000","76,000","74,000","101,000"
Net Interest Income,"-77,000","-77,000","-76,000","-74,000","-101,000"
EBIT,"-180,000","-180,000","-4,478,000","-300,000","359,000"
EBITDA,"1,419,000",-,-,-,-
Reconciled Cost of Revenue,"7,451,000","7,451,000","6,122,000","8,402,000","8,391,000"
Reconciled Depreciation,"1,599,000","1,599,000","2,790,000","270,000","247,000"
Net Income from Continuing Operation Net Minority Interest,"-288,000","-288,000","-4,991,000","2,534,000","503,000"
Total Unusual Items Excluding Goodwill,"-1,014,000","-1,014,000","-5,768,000","-488,000","-527,000"
Total Unusual Items,"-1,014,000","-1,014,000","-5,768,000","-488,000","-527,000"
Normalized EBITDA,"2,433,000","2,433,000","4,080,000","458,000","1,133,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-148,044","-148,044","-1,557,360","-195,200","-210,800"
