Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"3,152,366","3,010,564","2,973,903","2,824,686","3,418,265"
Cost of Revenue,"472,151","464,047","433,803","439,646","559,541"
Gross Profit,"2,680,215","2,546,517","2,540,100","2,385,040","2,858,724"
Operating Expense,"2,043,526","1,988,152","1,845,415","1,739,130","2,081,820"
Operating Income,"636,689","558,365","694,685","645,910","776,904"
Net Non Operating Interest Income Expense,"-32,341","-27,694","-40,132","-23,801","-28,263"
Other Income Expense,"-22,393","-21,171","-25,098","-71,763","-131,877"
Pretax Income,"581,955","509,500","629,455","550,346","616,764"
Tax Provision,"-170,732","-172,313","53,788","528,361","80,652"
Net Income Common Stockholders,"752,687","681,813","575,667","-20,719","536,112"
Diluted NI Available to Com Stockholders,"752,687","681,813","575,667","-20,719","536,112"
Basic EPS,-,0.0052,0.0042,0,0.0035
Diluted EPS,-,0.005,0.0039,0,0.0034
Basic Average Shares,-,"130,853","136,030","150,779","155,134"
Diluted Average Shares,-,"135,495","145,934","155,503","157,084"
Total Operating Income as Reported,"614,821","536,118","677,960","570,997","649,158"
Total Expenses,"2,515,677","2,452,199","2,279,218","2,178,776","2,641,361"
Net Income from Continuing & Discontinued Operation,"752,687","681,813","575,667","-20,719","536,112"
Normalized Income,"768,651","696,541","590,970","66,933","647,123"
Interest Income,"10,211","18,280","40,030","27,808","16,686"
Interest Expense,"42,552","45,974","80,162","51,609","44,949"
Net Interest Income,"-32,341","-27,694","-40,132","-23,801","-28,263"
EBIT,"624,507","555,474","709,617","601,955","661,713"
EBITDA,"805,208",-,-,-,-
Reconciled Cost of Revenue,"304,513","290,465","307,761","284,283","339,676"
Reconciled Depreciation,"180,701","189,472","141,896","170,015","249,038"
Net Income from Continuing Operation Net Minority Interest,"752,687","681,813","575,667","21,985","536,112"
Total Unusual Items Excluding Goodwill,"-21,868","-22,247","-16,725","-74,913","-127,746"
Total Unusual Items,"-21,868","-22,247","-16,725","-74,913","-127,746"
Normalized EBITDA,"827,076","767,193","868,238","846,883","1,038,497"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-5,904","-7,519","-1,422","-29,965","-16,735"
