Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"261,972,000","256,776,000","194,579,000","184,765,000","177,526,000"
Cost of Revenue,"215,276,000","211,248,000","163,041,000","156,220,000","148,669,000"
Gross Profit,"46,696,000","45,528,000","31,538,000","28,545,000","28,857,000"
Operating Expense,"33,854,000","33,541,000","21,368,000","19,028,000","18,519,000"
Operating Income,"12,842,000","11,987,000","10,170,000","9,517,000","10,338,000"
Net Non Operating Interest Income Expense,"-2,986,000","-3,035,000","-2,619,000","-1,041,000","-1,058,000"
Other Income Expense,"-19,000","45,000","-6,145,000","-208,000","-643,000"
Pretax Income,"9,837,000","8,997,000","1,406,000","8,268,000","8,637,000"
Tax Provision,"2,621,000","2,366,000","2,002,000","1,637,000","3,317,000"
Net Income Common Stockholders,"7,222,000","6,634,000","-594,000","6,622,000","5,317,000"
Diluted NI Available to Com Stockholders,"7,222,000","6,634,000","-594,000","6,622,000","5,317,000"
Basic EPS,-,-,0,0.0065,0.0049
Diluted EPS,-,-,0,0.0064,0.0049
Basic Average Shares,-,-,"1,044,000","1,020,000","1,073,000"
Diluted Average Shares,-,-,"1,044,000","1,024,000","1,079,000"
Total Operating Income as Reported,"12,755,000","11,987,000","4,021,000","9,517,000","10,338,000"
Total Expenses,"249,130,000","244,789,000","184,409,000","175,248,000","167,188,000"
Net Income from Continuing & Discontinued Operation,"7,220,000","6,634,000","-594,000","6,622,000","5,317,000"
Normalized Income,"7,220,000","6,692,223","3,894,770","6,630,000","5,714,088"
Interest Income,-,-,-,"21,000","20,000"
Interest Expense,"2,986,000","3,035,000","2,619,000","1,062,000","1,078,000"
Net Interest Income,"-2,986,000","-3,035,000","-2,619,000","-1,041,000","-1,058,000"
EBIT,"12,823,000","12,032,000","4,025,000","9,330,000","9,715,000"
EBITDA,"17,169,000",-,-,-,-
Reconciled Cost of Revenue,"215,276,000","211,248,000","163,041,000","156,220,000","148,669,000"
Reconciled Depreciation,"4,346,000","4,371,000","2,718,000","2,479,000","2,475,000"
Net Income from Continuing Operation Net Minority Interest,"7,220,000","6,634,000","-594,000","6,630,000","5,318,000"
Total Unusual Items Excluding Goodwill,-,"-79,000","-6,149,000",0,"-643,000"
Total Unusual Items,-,"-79,000","-6,149,000",0,"-643,000"
Normalized EBITDA,"17,169,000","16,482,000","12,892,000","11,809,000","12,833,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,"-20,777","-1,660,230",0,"-246,912"
