Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"4,410,000","4,592,000","4,151,000","2,586,000","1,634,988"
Cost of Revenue,"3,066,000","3,029,000","2,373,000","1,753,000","1,618,512"
Gross Profit,"1,344,000","1,563,000","1,778,000","833,000","16,476"
Operating Expense,"3,325,000","652,000","441,000","311,000","310,152"
Operating Income,"-1,981,000","911,000","1,337,000","522,000","-293,676"
Net Non Operating Interest Income Expense,"-180,000","-185,000","-149,000","-146,000","-201,579"
Other Income Expense,"-8,653,000","-1,585,000","1,701,000","505,000","-1,843,281"
Pretax Income,"-10,814,000","-859,000","2,889,000","881,000","-2,338,536"
Tax Provision,"-1,527,000","-154,000","603,000","-75,000","-876,090"
Net Income Common Stockholders,"-9,288,000","-706,000","2,269,000","949,000","-1,462,446"
Average Dilution Earnings,-,0,0,0,0
Diluted NI Available to Com Stockholders,"-9,288,000","-706,000","2,269,000","949,000","-1,462,446"
Basic EPS,-,-,0.0133,0.0064,-0.0109
Diluted EPS,-,-,0.0133,0.0064,-0.0109
Basic Average Shares,-,-,"170,925","148,447","134,788"
Diluted Average Shares,-,-,"171,249","149,142","134,788"
Total Operating Income as Reported,-,"-987,000","2,930,000","1,074,000","-2,069,444"
Total Expenses,"6,391,000","3,681,000","2,814,000","2,064,000","1,928,664"
Interest Expense,"180,000","185,000","149,000","146,000","191,642"
Net Interest Income,"-180,000","-185,000","-149,000","-146,000","-201,579"
Net Income from Continuing & Discontinued Operation,"-9,287,000","-705,000","2,286,000","956,000","-1,462,446"
Normalized Income,"-1,760,528","850,540","996,720","513,740","-317,318"
EBIT,"-10,634,000","-674,000","3,038,000","1,027,000","-2,146,894"
EBITDA,"-8,611,000",-,-,-,-
Reconciled Cost of Revenue,"3,066,000","3,029,000","2,373,000","1,753,000","1,618,512"
Reconciled Depreciation,"2,023,000","1,964,000","1,478,000","1,146,000","1,167,208"
Net Income from Continuing Operation Net Minority Interest,"-9,287,000","-705,000","2,286,000","956,000","-1,462,446"
Total Unusual Items Excluding Goodwill,"-8,764,000","-1,897,000","1,632,000","486,000","-1,832,204"
Total Unusual Items,"-8,764,000","-1,897,000","1,632,000","486,000","-1,832,204"
Normalized EBITDA,"153,000","3,187,000","2,884,000","1,687,000","852,518"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-1,237,528","-341,460","342,720","43,740","-687,076"
