Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"45,127,000","47,007,000","44,438,000","41,244,000","39,639,000"
Cost of Revenue,"36,162,000","36,625,000","35,510,000","31,094,000","28,991,000"
Gross Profit,"8,965,000","10,382,000","8,928,000","10,150,000","10,648,000"
Operating Expense,"3,777,000","3,764,000","3,664,000","4,036,000","3,696,000"
Operating Income,"5,188,000","6,618,000","5,264,000","6,114,000","6,952,000"
Net Non Operating Interest Income Expense,"-297,000","-301,000","-311,000","-396,000","-388,000"
Other Income Expense,"-246,000","-119,000","198,000","-17,000","72,000"
Pretax Income,"4,645,000","6,198,000","5,151,000","5,701,000","6,636,000"
Tax Provision,"1,142,000","1,431,000","1,216,000","2,124,000","2,263,000"
Net Income Common Stockholders,"3,503,000","4,767,000","3,935,000","3,577,000","4,373,000"
Diluted NI Available to Com Stockholders,"3,503,000","4,767,000","3,935,000","3,577,000","4,373,000"
Basic EPS,-,0.0073,0.0057,0.0045,0.0058
Diluted EPS,-,0.0073,0.0057,0.0044,0.0058
Basic Average Shares,-,"651,000","691,000","707,198","751,000"
Diluted Average Shares,-,"653,000","694,000","723,476","755,000"
Total Operating Income as Reported,"5,188,000","6,618,000","5,264,000","6,114,000","6,952,000"
Rent Expense Supplemental,"2,231,000","2,185,000","2,056,000","1,879,000","1,775,000"
Total Expenses,"39,939,000","40,389,000","39,174,000","35,130,000","32,687,000"
Interest Expense,"297,000","301,000","311,000","396,000","388,000"
Net Interest Income,"-297,000","-301,000","-311,000","-396,000","-388,000"
Net Income from Continuing & Discontinued Operation,"3,503,000","4,767,000","3,935,000","3,577,000","4,373,000"
Normalized Income,"3,573,135","4,675,489","3,924,304","3,577,000","4,373,000"
EBIT,"4,942,000","6,499,000","5,462,000","6,097,000","7,024,000"
EBITDA,"4,942,000",-,-,-,-
Reconciled Cost of Revenue,"36,162,000","36,625,000","35,510,000","31,094,000","28,991,000"
Reconciled Depreciation,-,"2,581,000","2,329,000","2,235,000","1,902,000"
Net Income from Continuing Operation Net Minority Interest,"3,503,000","4,767,000","3,935,000","3,577,000","4,373,000"
Total Unusual Items Excluding Goodwill,"-93,000","119,000","14,000",-,0
Total Unusual Items,"-93,000","119,000","14,000",-,0
Normalized EBITDA,"5,035,000","8,961,000","7,777,000","8,332,000","8,926,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-22,865","27,489","3,304",0,0
