Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"21,512,000","21,512,000","85,977,000","62,484,000","48,158,000"
Cost of Revenue,"14,056,000","14,056,000","65,333,000","50,414,000","37,641,000"
Gross Profit,"7,456,000","7,456,000","20,644,000","12,070,000","10,517,000"
Operating Expense,"4,668,000","4,668,000","11,672,000","7,144,000","5,432,000"
Operating Income,"2,788,000","2,788,000","8,972,000","4,926,000","5,085,000"
Net Non Operating Interest Income Expense,"-613,000","-613,000","-1,294,000","-935,000","-751,000"
Other Income Expense,"-2,649,000","-2,649,000","-2,185,000","-2,798,000","79,000"
Pretax Income,"-474,000","-474,000","5,493,000","1,193,000","4,413,000"
Tax Provision,"140,000","140,000","1,489,000","-476,000","9,000"
Net Income Common Stockholders,"497,000","497,000","3,827,000","1,447,000","3,956,000"
Average Dilution Earnings,-,-,-,0,0
Diluted NI Available to Com Stockholders,"497,000","497,000","3,827,000","1,447,000","3,956,000"
Basic EPS,-,0,0.005,0.0028,0.0107
Diluted EPS,-,0,0.005,0.0027,0.0106
Basic Average Shares,-,"746,300","766,999","526,599","369,366"
Diluted Average Shares,-,"746,300","771,833","532,699","374,400"
Total Expenses,"18,724,000","18,724,000","77,005,000","57,558,000","43,073,000"
Net Income from Continuing & Discontinued Operation,"-639,000","498,000","3,844,000","1,460,000","4,318,000"
Normalized Income,"1,316,320","1,316,320","6,683,352","3,762,400","4,831,970"
Interest Income,"17,000","55,000","210,000","147,000","107,000"
Interest Expense,"668,000","668,000","1,504,000","1,082,000","858,000"
Net Interest Income,"-613,000","-613,000","-1,294,000","-935,000","-751,000"
EBIT,"194,000","194,000","6,997,000","2,275,000","5,271,000"
EBITDA,"3,389,000",-,-,-,-
Reconciled Cost of Revenue,"11,911,000","11,911,000","61,318,000","47,458,000","35,323,000"
Reconciled Depreciation,"3,195,000","3,195,000","5,918,000","3,969,000","2,862,000"
Net Income from Continuing Operation Net Minority Interest,"-716,000","-716,000","3,849,000","1,537,000","4,318,000"
Total Unusual Items Excluding Goodwill,"-2,784,000","-2,784,000","-3,888,000","-3,709,000","-515,000"
Total Unusual Items,"-2,784,000","-2,784,000","-3,888,000","-3,709,000","-515,000"
Normalized EBITDA,"6,173,000","6,173,000","16,803,000","9,953,000","8,648,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-751,680","-751,680","-1,053,648","-1,483,600","-1,030"
