Breakdown,ttm,10/31/2019,10/31/2018,10/31/2017,10/31/2016
Total Revenue,"36,499,000","38,941,000","37,021,300","29,115,600","26,363,500"
Cost of Revenue,"26,644,900","28,486,000","26,985,800","21,001,000","19,174,600"
Gross Profit,"9,854,100","10,455,000","10,035,500","8,114,600","7,188,900"
Operating Expense,"6,444,700","6,392,000","5,979,100","5,353,300","4,980,800"
Operating Income,"3,409,400","4,063,000","4,056,400","2,761,300","2,208,100"
Other Income Expense,-,"25,000","14,000","392,000","16,000"
Pretax Income,"3,434,400","4,088,000","4,070,700","3,153,800","2,224,000"
Tax Provision,"619,500","852,000","1,726,900","971,100","700,100"
Earnings from Equity Interest Net of Tax,"-9,800","21,000","26,800","-23,500","-2,400"
Net Income Common Stockholders,"2,801,800","3,253,000","2,368,000","2,158,500","1,523,200"
Diluted NI Available to Com Stockholders,"2,801,800","3,253,000","2,368,000","2,158,500","1,523,200"
Basic EPS,-,0.0103,0.0073,0.0068,0.0048
Diluted EPS,-,0.0102,0.0072,0.0067,0.0048
Basic Average Shares,-,"316,500","322,600","319,500","315,200"
Diluted Average Shares,-,"320,600","327,300","323,300","316,600"
Total Expenses,"33,089,600","34,878,000","32,964,900","26,354,300","24,155,400"
Net Income from Continuing & Discontinued Operation,"2,801,600","3,253,000","2,368,400","2,159,100","1,523,900"
Normalized Income,"2,801,600","3,233,210","2,358,180","1,887,802","1,512,937"
EBIT,"3,409,400","4,063,000","4,056,400","2,761,300","2,208,100"
EBITDA,"5,478,900",-,-,-,-
Reconciled Cost of Revenue,"26,644,900","27,448,000","25,986,700","20,138,500","18,356,800"
Reconciled Depreciation,"2,069,500","2,019,000","1,927,100","1,715,500","1,559,800"
Net Income from Continuing Operation Net Minority Interest,"2,801,600","3,253,000","2,368,400","2,159,100","1,523,900"
Total Unusual Items Excluding Goodwill,-,"25,000","14,000","392,000","16,000"
Total Unusual Items,-,"25,000","14,000","392,000","16,000"
Normalized EBITDA,"5,478,900","6,057,000","5,969,500","4,084,800","3,751,900"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,"5,210","3,780","120,702","5,037"
