Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"7,657,000","7,726,000","7,531,000","7,709,000","7,515,000"
Cost of Revenue,"5,063,000","5,037,000","4,926,000","4,719,000","4,616,000"
Gross Profit,"2,594,000","2,689,000","2,605,000","2,990,000","2,899,000"
Operating Expense,"1,436,000","1,458,000","1,500,000","1,825,000","1,740,000"
Operating Income,"1,158,000","1,231,000","1,105,000","1,165,000","1,159,000"
Net Non Operating Interest Income Expense,"-172,000","-175,000","-167,000","-151,000","-143,000"
Other Income Expense,"-5,000","20,000","-12,000","16,000","70,000"
Pretax Income,"981,000","1,076,000","926,000","1,030,000","1,086,000"
Tax Provision,"223,000","247,000","182,000","241,000","429,000"
Earnings from Equity Interest Net of Tax,"58,000","57,000","44,000","35,000","39,000"
Net Income Common Stockholders,"791,000","855,000","733,000","769,000","642,000"
Diluted NI Available to Com Stockholders,"791,000","855,000","733,000","769,000","642,000"
Basic EPS,-,0.0064,0.0054,0.0056,0.0046
Diluted EPS,-,0.0063,0.0053,0.0055,0.0045
Basic Average Shares,-,"134,000","136,000","137,000","140,000"
Diluted Average Shares,-,"136,000","139,000","140,000","142,000"
Total Operating Income as Reported,"1,158,000","1,231,000","1,101,000","1,165,000","1,277,000"
Total Expenses,"6,499,000","6,495,000","6,426,000","6,544,000","6,356,000"
Net Income from Continuing & Discontinued Operation,"793,000","858,000","736,000","772,000","645,000"
Normalized Income,"773,000","838,000","739,212","772,000","573,610"
Interest Income,-,"5,000","2,000","2,000","1,000"
Interest Expense,"177,000","180,000","169,000","153,000","144,000"
Net Interest Income,"-172,000","-175,000","-167,000","-151,000","-143,000"
EBIT,"1,158,000","1,256,000","1,095,000","1,183,000","1,230,000"
EBITDA,"1,488,000",-,-,-,-
Reconciled Cost of Revenue,"4,830,000","4,804,000","4,707,000","4,523,000","4,439,000"
Reconciled Depreciation,"330,000","329,000","309,000","270,000","249,000"
Net Income from Continuing Operation Net Minority Interest,"773,000","838,000","736,000","772,000","645,000"
Total Unusual Items Excluding Goodwill,-,-,"-4,000",0,"118,000"
Total Unusual Items,-,-,"-4,000",0,"118,000"
Normalized EBITDA,"1,488,000","1,585,000","1,408,000","1,453,000","1,361,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,-788,0,"46,610"
