Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"18,034,000","17,911,100","19,893,000","18,329,700","16,882,400"
Cost of Revenue,"7,962,400","7,927,400","8,785,900","8,137,200","7,547,800"
Gross Profit,"10,071,600","9,983,700","11,107,100","10,192,500","9,334,600"
Operating Expense,"6,824,400","6,714,300","7,703,300","7,171,300","6,583,700"
Operating Income,"3,247,200","3,269,400","3,403,800","3,021,200","2,750,900"
Net Non Operating Interest Income Expense,"50,300","30,400","-148,200","-155,200","-184,200"
Other Income Expense,"-1,100","5,500","37,200","72,800","44,600"
Pretax Income,"3,296,400","3,305,300","3,292,800","2,938,800","2,611,300"
Tax Provision,"601,300","873,000","641,900","469,000","457,900"
Net Income Common Stockholders,"3,256,400","3,008,200","2,650,900","2,492,100","2,553,700"
Average Dilution Earnings,-,-,"2,200","2,100","1,800"
Diluted NI Available to Com Stockholders,"3,256,700","3,008,200","2,653,100","2,494,200","2,555,500"
Basic EPS,-,-,0.0038,0.0036,0.0037
Diluted EPS,-,-,0.0037,0.0035,0.0037
Basic Average Shares,-,-,"700,600","695,800","691,200"
Diluted Average Shares,-,-,"710,200","706,100","699,800"
Total Operating Income as Reported,"3,247,200","3,269,400","3,403,800","3,021,200","2,750,900"
Total Expenses,"14,786,800","14,641,700","16,489,200","15,308,500","14,131,500"
Net Income from Continuing & Discontinued Operation,"3,269,500","3,008,200","2,650,900","2,492,100","2,553,700"
Normalized Income,"2,695,100","2,437,084","2,650,900","2,469,800","2,300,910"
Interest Income,"185,800","139,000","9,200","7,500",200
Interest Expense,"135,500","108,600","157,400","162,700","184,400"
Net Interest Income,"50,300","30,400","-148,200","-155,200","-184,200"
EBIT,"3,431,900","3,413,900","3,450,200","3,101,500","2,795,700"
EBITDA,"4,623,100",-,-,-,-
Reconciled Cost of Revenue,"7,962,400","7,927,400","8,785,900","8,137,200","7,547,800"
Reconciled Depreciation,"1,191,200","1,189,500","1,307,700","1,238,300","1,128,100"
Net Income from Continuing Operation Net Minority Interest,"2,695,100","2,432,300","2,650,900","2,469,800","2,153,400"
Total Unusual Items Excluding Goodwill,-,"-6,500",0,0,"-178,800"
Total Unusual Items,-,"-6,500",0,0,"-178,800"
Normalized EBITDA,"4,623,100","4,609,900","4,757,900","4,339,800","4,102,600"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,"-1,716",0,0,"-31,290"
