Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"3,218,063","3,209,241","3,046,478","2,457,928","2,142,213"
Cost of Revenue,"1,208,879","1,192,761","1,086,581","883,630","762,674"
Gross Profit,"2,009,184","2,016,480","1,959,897","1,574,298","1,379,539"
Operating Expense,"1,374,231","1,388,989","1,364,783","1,017,963","861,762"
Operating Income,"634,953","627,491","595,114","556,335","517,777"
Net Non Operating Interest Income Expense,"-296,291","-287,057","-318,048","-254,987","-241,044"
Other Income Expense,"383,171","270,782","66,133","-37,180","165,504"
Pretax Income,"721,833","611,216","343,199","264,168","442,237"
Tax Provision,"14,911","11,995","2,084","7,901","10,385"
Net Income Common Stockholders,"600,001","493,011","249,930","173,148","332,088"
Diluted NI Available to Com Stockholders,"600,001","493,011","249,930","173,148","332,088"
Basic EPS,-,-,0.0012,0,0.0022
Diluted EPS,-,-,0.0012,0,0.0022
Basic Average Shares,-,-,"206,035","174,059","149,954"
Diluted Average Shares,-,-,"206,673","174,895","150,680"
Total Operating Income as Reported,"552,721","594,215","549,787","451,295","497,286"
Total Expenses,"2,583,110","2,581,750","2,451,364","1,901,593","1,624,436"
Net Income from Continuing & Discontinued Operation,"686,963","579,761","331,246","248,259","426,187"
Normalized Income,"793,844","322,202","298,293","309,080","281,272"
Interest Income,"41,014","66,000","3,481","3,655","-4,564"
Interest Expense,"340,847","353,057","321,529","258,642","241,044"
Net Interest Income,"-296,291","-287,057","-318,048","-254,987","-241,044"
EBIT,"1,062,680","964,273","664,728","522,810","683,281"
EBITDA,"2,206,425",-,-,-,-
Reconciled Cost of Revenue,"1,549,000","1,529,966","1,476,672","1,129,328","951,633"
Reconciled Depreciation,"803,624","826,569","796,805","596,766","510,365"
Net Income from Continuing Operation Net Minority Interest,"686,963","579,761","331,246","248,259","426,187"
Total Unusual Items Excluding Goodwill,"-109,135","262,715","33,154","-62,696","148,400"
Total Unusual Items,"-109,135","262,715","33,154","-62,696","148,400"
Normalized EBITDA,"2,315,560","1,865,332","1,818,470","1,427,970","1,234,205"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-2,254","5,156",201.3203,"-1,875","3,485"
