Breakdown,ttm,1/31/2020,1/31/2019,1/31/2018,1/31/2017
Total Revenue,"24,088,900","23,610,800","22,823,300","22,245,500","20,719,200"
Cost of Revenue,"16,980,500","16,570,100","15,875,800","15,223,600","14,324,500"
Gross Profit,"7,108,400","7,040,700","6,947,500","7,021,900","6,394,700"
Operating Expense,"5,552,800","5,465,500","5,160,000","5,004,300","4,689,900"
Operating Income,"1,555,600","1,575,200","1,787,500","2,017,600","1,704,800"
Net Non Operating Interest Income Expense,"-160,900","-162,100","-370,000","-301,800","-375,500"
Other Income Expense,"-314,700","-314,400","-2,726,500","-11,800",100
Pretax Income,"1,080,000","1,098,700","-1,309,000","1,704,000","1,329,400"
Tax Provision,"273,300","271,700","281,800","-10,300","433,200"
Net Income Common Stockholders,"806,700","827,000","-1,590,800","1,714,300","896,200"
Diluted NI Available to Com Stockholders,"806,700","827,000","-1,590,800","1,714,300","896,200"
Basic EPS,-,0.0035,-0.0067,0.0072,0.0038
Diluted EPS,-,0.0035,-0.0067,0.0072,0.0038
Basic Average Shares,-,"237,200","237,900","236,800","235,700"
Diluted Average Shares,-,"238,300","238,700","237,700","236,800"
Total Operating Income as Reported,"1,242,600","1,262,200","-939,500","1,999,100","1,704,800"
Total Expenses,"22,533,300","22,035,600","21,035,800","20,227,900","19,014,400"
Net Income from Continuing & Discontinued Operation,"806,700","827,000","-1,590,800","1,714,300","896,200"
Normalized Income,"806,700","1,062,689","399,910","1,727,805","896,200"
Interest Expense,"160,900","162,100","370,000","301,800","375,500"
Net Interest Income,"-160,900","-162,100","-370,000","-301,800","-375,500"
EBIT,"1,240,900","1,260,800","-939,000","2,005,800","1,704,900"
EBITDA,"1,900,600",-,-,-,-
Reconciled Cost of Revenue,"16,980,500","16,570,100","15,875,800","15,223,600","14,324,500"
Reconciled Depreciation,"659,700","645,400","621,100","611,200","637,500"
Net Income from Continuing Operation Net Minority Interest,"806,700","827,000","-1,590,800","1,714,300","896,200"
Total Unusual Items Excluding Goodwill,-,"-313,000","-2,727,000","-18,500",-
Total Unusual Items,-,"-313,000","-2,727,000","-18,500",-
Normalized EBITDA,"1,900,600","2,219,200","2,409,100","2,635,500","2,342,400"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,"-77,311","-736,290","-4,995",0
