Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"935,199","973,759","947,870","780,934","902,244"
Cost of Revenue,"273,112","316,670","352,253","263,003","306,531"
Gross Profit,"662,087","657,089","595,617","517,931","595,713"
Operating Expense,"414,337","405,832","372,027","331,059","377,071"
Operating Income,"247,750","251,257","223,590","186,872","218,642"
Net Non Operating Interest Income Expense,"-82,540","-79,815","-67,772","-72,282","-137,541"
Other Income Expense,"250,074","269,443","236,378","175,645","231,581"
Pretax Income,"415,284","440,885","392,196","290,235","312,682"
Tax Provision,"8,241","8,686","8,828",-357,-589
Net Income Common Stockholders,"402,422","427,485","382,054","1,630,450","309,787"
Average Dilution Earnings,"1,275","1,487","5,203","19,157","5,445"
Diluted NI Available to Com Stockholders,"403,697","428,972","387,257","1,649,607","315,232"
Basic EPS,-,-,0.0011,0.0046,0
Diluted EPS,-,-,0.0011,0.0046,0
Basic Average Shares,-,-,"357,569","355,762","349,942"
Diluted Average Shares,-,-,"363,297","362,011","357,076"
Total Operating Income as Reported,"521,937","524,761","460,356","388,621","476,981"
Rent Expense Supplemental,"73,759","75,584","73,075","64,582","107,410"
Total Expenses,"687,449","722,502","724,280","594,062","683,602"
Net Income from Continuing & Discontinued Operation,"403,877","428,972","383,729","1,634,431","312,143"
Normalized Income,"187,077","197,394","169,733","215,285","215,409"
Interest Income,"8,578","9,941","17,234","14,721","4,035"
Interest Expense,"91,118","89,756","85,006","87,003","141,576"
Net Interest Income,"-82,540","-79,815","-67,772","-72,282","-137,541"
EBIT,"506,402","530,641","477,202","377,238","454,258"
EBITDA,"842,992",-,-,-,-
Reconciled Cost of Revenue,"328,121","371,471","408,220","293,958","368,930"
Reconciled Depreciation,"281,581","272,422","256,250","242,606","255,419"
Net Income from Continuing Operation Net Minority Interest,"403,539","428,527","379,829","270,682","310,136"
Total Unusual Items Excluding Goodwill,"220,844","235,778","214,934","92,328","157,879"
Total Unusual Items,"220,844","235,778","214,934","92,328","157,879"
Normalized EBITDA,"622,148","622,086","574,485","558,471","614,197"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"4,382","4,645","4,838","36,931","63,152"
