Breakdown,ttm,5/31/2019,5/31/2018,5/31/2017,5/31/2016
Total Revenue,"8,765,900","8,510,400","8,080,100","7,170,200","6,933,500"
Cost of Revenue,"6,864,200","6,661,400","6,334,700","5,600,800","5,392,400"
Gross Profit,"1,901,700","1,849,000","1,745,400","1,569,400","1,541,100"
Operating Expense,"1,017,100","997,500","975,200","900,300","913,100"
Operating Income,"884,600","851,500","770,200","669,100","628,000"
Net Non Operating Interest Income Expense,"-49,300","-50,200","-161,100","-40,200","-172,500"
Other Income Expense,"-168,100","-19,000","-3,400","8,400","-5,800"
Pretax Income,"667,200","782,300","605,700","637,300","449,700"
Tax Provision,"28,000","63,700","1,900","154,800","90,000"
Net Income Common Stockholders,"635,600","713,400","596,000","479,100","375,000"
Diluted NI Available to Com Stockholders,"635,600","713,400","596,000","479,100","375,000"
Basic EPS,-,0.0058,0.0048,0.0039,0.0029
Diluted EPS,-,0.0057,0.0047,0.0038,0.0029
Basic Average Shares,-,"123,500","124,000","124,300","127,400"
Diluted Average Shares,-,"125,400","126,000","126,000","129,300"
Total Operating Income as Reported,"869,800","832,500","766,800","677,500","622,200"
Total Expenses,"7,881,300","7,658,900","7,309,900","6,501,100","6,305,500"
Net Income from Continuing & Discontinued Operation,"635,600","713,400","596,000","479,100","375,000"
Normalized Income,"653,379","736,061","607,190","476,141","364,340"
Interest Income,-,"3,800",800,"1,300","1,100"
Interest Expense,-,"54,000","161,900","41,500","173,600"
Net Interest Income,"-49,300","-50,200","-161,100","-40,200","-172,500"
EBIT,"869,400","836,300","767,600","678,800","623,300"
EBITDA,"1,218,800",-,-,-,-
Reconciled Cost of Revenue,"6,864,200","6,661,400","6,334,700","5,600,800","5,392,400"
Reconciled Depreciation,"349,400","336,700","313,100","272,900","290,200"
Net Income from Continuing Operation Net Minority Interest,"639,200","718,600","603,800","482,500","359,700"
Total Unusual Items Excluding Goodwill,"-14,800","-19,000","-3,400","8,400","-5,800"
Total Unusual Items,"-14,800","-19,000","-3,400","8,400","-5,800"
Normalized EBITDA,"1,233,600","1,192,000","1,084,100","943,300","919,300"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,-621.1031,"-1,539",-10.2,"2,041","-1,160"
