Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"12,177,000","12,669,000","14,212,000","12,607,000","10,630,000"
Cost of Revenue,"8,726,000","9,270,000","11,062,000","9,499,000","7,832,000"
Gross Profit,"3,451,000","3,399,000","3,150,000","3,108,000","2,798,000"
Operating Expense,"1,712,000","1,653,000","1,501,000","1,398,000","1,325,000"
Operating Income,"1,739,000","1,746,000","1,649,000","1,710,000","1,473,000"
Net Non Operating Interest Income Expense,"-641,000","-624,000","-547,000","-524,000","-452,000"
Other Income Expense,"155,000","202,000","114,000","101,000","84,000"
Pretax Income,"1,253,000","1,324,000","1,216,000","1,287,000","1,105,000"
Tax Provision,"147,000","152,000","98,000","175,000","271,000"
Net Income Common Stockholders,"1,106,000","1,167,000","1,118,000","1,132,000","866,000"
Diluted NI Available to Com Stockholders,"1,106,000","1,167,000","1,118,000","1,132,000","866,000"
Basic EPS,-,0.0063,0.0062,0.0063,0.0048
Diluted EPS,-,0.0063,0.0062,0.0063,0.0048
Basic Average Shares,-,"185,000","181,000","179,000","179,000"
Diluted Average Shares,-,"185,000","181,000","179,000","179,000"
Total Operating Income as Reported,"1,711,000","1,707,000","1,594,000","1,646,000","1,445,000"
Total Expenses,"10,438,000","10,923,000","12,563,000","10,897,000","9,157,000"
Interest Income,"23,000","17,000","12,000","12,000","20,000"
Interest Expense,"664,000","641,000","559,000","536,000","472,000"
Net Interest Income,"-641,000","-624,000","-547,000","-524,000","-452,000"
Net Income from Continuing & Discontinued Operation,"1,108,000","1,169,000","1,120,000","1,134,000","868,000"
Normalized Income,"983,542","1,034,480","1,049,206","1,080,430","805,335"
EBIT,"1,917,000","1,965,000","1,775,000","1,823,000","1,577,000"
EBITDA,"3,237,000",-,-,-,-
Reconciled Cost of Revenue,"8,726,000","9,270,000","11,062,000","9,499,000","7,832,000"
Reconciled Depreciation,"1,320,000","1,263,000","1,124,000","1,030,000","976,000"
Net Income from Continuing Operation Net Minority Interest,"1,108,000","1,169,000","1,120,000","1,134,000","868,000"
Total Unusual Items Excluding Goodwill,"141,000","152,000","77,000","62,000","83,000"
Total Unusual Items,"141,000","152,000","77,000","62,000","83,000"
Normalized EBITDA,"3,096,000","3,076,000","2,822,000","2,791,000","2,470,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"16,542","17,480","6,206","8,430","20,335"
