Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"1,600,600","1,476,000","1,031,600","718,500","573,300"
Cost of Revenue,"581,400","544,500","367,700","226,400","194,900"
Gross Profit,"1,019,200","931,500","663,900","492,100","378,400"
Operating Expense,"828,900","789,200","850,200","534,600","442,300"
Operating Income,"190,300","142,300","-186,300","-42,500","-63,900"
Net Non Operating Interest Income Expense,"-37,100","-33,900","-20,300","-9,500",-300
Other Income Expense,-,"-4,200","80,100","3,400",-700
Pretax Income,"153,200","104,200","-126,500","-48,600","-64,900"
Tax Provision,"5,300","3,100",600,"1,600",700
Net Income Common Stockholders,"147,900","101,100","-127,100","-50,200","-65,600"
Diluted NI Available to Com Stockholders,"147,900","101,100","-127,100","-50,200","-65,600"
Basic EPS,-,0.0011,-0.0014,0,0
Diluted EPS,-,0.0011,-0.0014,0,0
Basic Average Shares,-,"91,100","88,200","86,300","83,600"
Diluted Average Shares,-,"92,300","88,200","86,300","83,600"
Total Operating Income as Reported,"190,300","142,300","-186,300","-42,500","-63,900"
Total Expenses,"1,410,300","1,333,700","1,217,900","761,000","637,200"
Net Income from Continuing & Discontinued Operation,"147,900","101,100","-127,100","-50,200","-65,600"
Normalized Income,"147,900","101,100","-127,100","-50,200","-65,600"
Interest Income,"23,700","26,400","2,400","3,300",400
Interest Expense,"60,800","60,300","22,700","12,800",700
Net Interest Income,"-37,100","-33,900","-20,300","-9,500",-300
EBIT,"214,000","164,500","-103,800","-35,800","-64,200"
EBITDA,"265,800",-,-,-,-
Reconciled Cost of Revenue,"581,400","544,500","367,700","226,400","194,900"
Reconciled Depreciation,"51,800","48,700","29,100","16,100","15,000"
Net Income from Continuing Operation Net Minority Interest,"147,900","101,100","-127,100","-50,200","-65,600"
Normalized EBITDA,"265,800","213,200","-74,700","-19,700","-49,200"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
