Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"16,572,000","16,572,000","13,366,000","12,586,000","11,737,000"
Cost of Revenue,"8,990,000","8,990,000","7,039,000","5,883,000","5,955,000"
Gross Profit,"7,582,000","7,582,000","6,327,000","6,703,000","5,782,000"
Operating Expense,"3,695,000","3,695,000","2,703,000","2,573,000","2,155,000"
Operating Income,"3,887,000","3,887,000","3,624,000","4,130,000","3,627,000"
Net Non Operating Interest Income Expense,"-1,773,000","-1,773,000","-1,493,000","-1,205,000","-1,010,000"
Other Income Expense,"-387,000","-387,000","998,000","165,000","250,000"
Pretax Income,"2,032,000","1,727,000","3,129,000","3,090,000","2,867,000"
Tax Provision,"351,000","351,000","580,000","-30,000","655,000"
Net Income Common Stockholders,"1,341,000","1,341,000","2,447,000","2,999,000","2,123,000"
Average Dilution Earnings,"-28,000","-28,000",-,-,-
Diluted NI Available to Com Stockholders,"1,313,000","1,313,000","2,447,000","2,999,000","2,123,000"
Basic EPS,-,-,0.0036,0.0047,0.0034
Diluted EPS,-,-,0.0036,0.0047,0.0034
Basic Average Shares,-,-,"681,000","636,000","628,000"
Diluted Average Shares,-,-,"681,000","636,000","628,000"
Total Operating Income as Reported,"2,514,000","2,514,000","3,601,000","4,130,000","3,627,000"
Total Expenses,"12,685,000","12,685,000","9,742,000","8,456,000","8,110,000"
Interest Expense,"1,773,000","1,773,000","1,493,000","1,205,000","1,010,000"
Net Interest Income,"-1,773,000","-1,773,000","-1,493,000","-1,205,000","-1,010,000"
Net Income from Continuing & Discontinued Operation,"1,358,000","1,358,000","2,447,000","2,999,000","2,123,000"
Normalized Income,"2,451,948","2,451,948","2,465,745","2,999,000","2,123,000"
EBIT,"3,826,000","3,500,000","4,622,000","4,295,000","3,877,000"
EBITDA,"6,477,000",-,-,-,-
Reconciled Cost of Revenue,"8,668,000","8,668,000","6,759,000","5,586,000","5,665,000"
Reconciled Depreciation,"2,977,000","2,977,000","2,280,000","2,202,000","1,849,000"
Net Income from Continuing Operation Net Minority Interest,"1,358,000","1,358,000","2,447,000","2,999,000","2,123,000"
Total Unusual Items Excluding Goodwill,"-1,373,000","-1,373,000","-23,000",-,-
Total Unusual Items,"-1,373,000","-1,373,000","-23,000",-,-
Normalized EBITDA,"7,850,000","7,850,000","6,925,000","6,497,000","5,726,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-279,052","-279,052","-4,255",0,0
