Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"10,761,000","10,800,000","10,746,000","9,567,000","8,979,000"
Cost of Revenue,"2,495,000","2,508,000","2,382,000","2,222,000","2,007,000"
Gross Profit,"8,266,000","8,292,000","8,364,000","7,345,000","6,972,000"
Operating Expense,"5,909,000","5,971,000","6,142,000","5,080,000","4,647,000"
Operating Income,"2,357,000","2,321,000","2,222,000","2,265,000","2,325,000"
Net Non Operating Interest Income Expense,"-253,000","-191,000","-150,000","-115,000","-100,000"
Other Income Expense,-,"77,000","646,000","126,000","1,426,000"
Pretax Income,"2,181,000","2,207,000","2,718,000","2,276,000","3,651,000"
Tax Provision,"420,000","415,000","190,000","3,288,000","-3,634,000"
Net Income Common Stockholders,"4,680,000","1,786,000","2,530,000","-1,016,000","7,266,000"
Diluted NI Available to Com Stockholders,"4,680,000","1,786,000","2,530,000","-1,016,000","7,266,000"
Basic EPS,-,0.0021,0.0026,0,0.0064
Diluted EPS,-,0.0021,0.0025,0,0.0064
Basic Average Shares,-,"849,000","980,000","1,064,000","1,133,000"
Diluted Average Shares,-,"855,500","991,000","1,064,000","1,144,000"
Total Operating Income as Reported,"2,357,000","2,321,000","2,222,000","2,265,000","2,325,000"
Total Expenses,"8,404,000","8,479,000","8,524,000","7,302,000","6,654,000"
Net Income from Continuing & Discontinued Operation,"4,680,000","1,786,000","2,530,000","-1,016,000","7,266,000"
Normalized Income,"1,761,000","1,727,040","1,911,410","-1,081,000","6,479,200"
Interest Income,"58,000","120,000","176,000","177,000","125,000"
Interest Expense,-,"311,000","326,000","292,000","225,000"
Net Interest Income,"-253,000","-191,000","-150,000","-115,000","-100,000"
EBIT,"2,554,000","2,518,000","3,044,000","2,568,000","3,876,000"
EBITDA,"3,220,000",-,-,-,-
Reconciled Cost of Revenue,"1,875,000","1,875,000","1,735,000","1,584,000","1,359,000"
Reconciled Depreciation,"666,000","681,000","696,000","676,000","682,000"
Net Income from Continuing Operation Net Minority Interest,"1,761,000","1,792,000","2,528,000","-1,012,000","7,285,000"
Total Unusual Items Excluding Goodwill,-,"80,000","663,000","115,000","1,343,000"
Total Unusual Items,-,"80,000","663,000","115,000","1,343,000"
Normalized EBITDA,"3,220,000","3,119,000","3,077,000","3,129,000","3,215,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,"15,040","46,410","46,000","537,200"
