Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"14,982,300","14,906,300","14,668,200","13,838,300","13,152,800"
Cost of Revenue,"8,750,600","8,723,400","8,625,900","7,405,100","6,898,900"
Gross Profit,"6,231,700","6,182,900","6,042,300","6,433,200","6,253,900"
Operating Expense,"3,964,200","3,957,500","3,968,600","4,417,100","4,299,400"
Operating Income,"2,267,500","2,225,400","2,073,700","2,016,100","1,954,500"
Net Non Operating Interest Income Expense,"-189,900","-191,200","-222,300","-255,000","-264,600"
Other Income Expense,"-153,400","-135,300","-46,800","3,700","-39,500"
Pretax Income,"1,924,200","1,898,900","1,804,600","1,764,800","1,650,400"
Tax Provision,"358,200","322,700","364,300","242,400","403,300"
Net Income Common Stockholders,"1,545,800","1,558,900","1,429,100","1,508,400","1,229,600"
Diluted NI Available to Com Stockholders,"1,545,800","1,558,900","1,429,100","1,508,400","1,229,600"
Basic EPS,-,0.0054,0.005,0.0052,0.0042
Diluted EPS,-,0.0053,0.0049,0.0051,0.0041
Basic Average Shares,-,"288,100","288,600","289,600","292,500"
Diluted Average Shares,-,"292,500","292,800","294,000","296,700"
Total Operating Income as Reported,"2,043,800","2,013,800","1,947,000","2,019,800","1,915,000"
Total Expenses,"12,714,800","12,680,900","12,594,500","11,822,200","11,198,300"
Net Income from Continuing & Discontinued Operation,"1,545,800","1,558,900","1,429,100","1,508,400","1,229,600"
Normalized Income,"1,727,857","1,734,528","1,530,207","1,505,207","1,259,462"
Interest Income,"22,000","24,100","14,900","19,600","20,800"
Interest Expense,"211,900","215,300","237,200","274,600","285,400"
Net Interest Income,"-189,900","-191,200","-222,300","-255,000","-264,600"
EBIT,"2,136,100","2,114,200","2,041,800","2,039,400","1,935,800"
EBITDA,"3,120,200",-,-,-,-
Reconciled Cost of Revenue,"8,750,600","8,723,400","8,625,900","7,405,100","6,898,900"
Reconciled Depreciation,"984,100","973,300","938,300","893,300","850,700"
Net Income from Continuing Operation Net Minority Interest,"1,545,800","1,558,900","1,429,100","1,508,400","1,229,600"
Total Unusual Items Excluding Goodwill,"-223,700","-211,600","-126,700","3,700","-39,500"
Total Unusual Items,"-223,700","-211,600","-126,700","3,700","-39,500"
Normalized EBITDA,"3,343,900","3,299,100","3,106,800","2,929,000","2,826,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-41,643","-35,972","-25,593",506.9,"-9,638"
