Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"3,619,400","3,507,600","3,412,100","3,362,200","3,144,900"
Cost of Revenue,"1,548,300","1,521,700","1,440,400","1,210,700","1,113,400"
Gross Profit,"2,071,100","1,985,900","1,971,700","2,151,500","2,031,500"
Operating Expense,"1,652,700","2,321,300","1,523,700","1,326,900","1,213,600"
Operating Income,"418,400","-335,400","448,000","824,600","817,900"
Net Non Operating Interest Income Expense,"-115,700","-111,700","-103,500","-92,800","-92,100"
Other Income Expense,"57,300","14,100","11,800","14,800","2,400"
Pretax Income,"360,000","-433,000","356,300","746,600","728,200"
Tax Provision,"83,900","-40,200","50,000","148,600","233,100"
Net Income Common Stockholders,"269,700","-398,800","299,800","587,300","488,800"
Diluted NI Available to Com Stockholders,"269,700","-398,800","299,800","587,300","488,800"
Basic EPS,-,-0.0033,0.0025,0.0049,0.0041
Diluted EPS,-,-0.0033,0.0025,0.0048,0.004
Basic Average Shares,-,"120,900","120,400","120,100","119,300"
Diluted Average Shares,-,"122,000","121,400","121,500","121,100"
Total Operating Income as Reported,"418,400","-335,400","448,000","824,600","817,900"
Total Expenses,"3,201,000","3,843,000","2,964,100","2,537,600","2,327,000"
Net Income from Continuing & Discontinued Operation,"269,700","-398,800","299,800","587,300","488,800"
Normalized Income,"269,700","-398,800","299,800","587,300","488,800"
Interest Expense,"115,700","111,700","103,500","92,800","92,100"
Net Interest Income,"-115,700","-111,700","-103,500","-92,800","-92,100"
EBIT,"475,700","-321,300","459,800","839,400","820,300"
EBITDA,"828,100",-,-,-,-
Reconciled Cost of Revenue,"1,541,300","1,515,500","1,434,900","1,207,600","1,110,100"
Reconciled Depreciation,"352,400","337,300","315,900","290,900","268,700"
Net Income from Continuing Operation Net Minority Interest,"269,700","-398,800","299,800","587,300","488,800"
Normalized EBITDA,"828,100","16,000","775,700","1,130,300","1,089,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
