Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,"15,454,000","14,863,000","13,683,000","11,824,000","11,262,300"
Cost of Revenue,"3,620,000","3,387,000","2,844,000","2,437,000","2,181,100"
Gross Profit,"11,834,000","11,476,000","10,839,000","9,387,000","9,081,200"
Operating Expense,"9,175,000","8,857,000","8,556,000","7,469,000","7,337,800"
Operating Income,"2,659,000","2,619,000","2,283,000","1,918,000","1,743,400"
Net Non Operating Interest Income Expense,"-87,000","-75,000","-72,000","-75,000","-55,100"
Other Income Expense,"-722,000","-237,000","-231,000","-226,000","-133,100"
Pretax Income,"1,850,000","2,307,000","1,980,000","1,617,000","1,555,200"
Tax Provision,"537,000","513,000","863,000","361,000","434,400"
Net Income Common Stockholders,"1,303,000","1,785,000","1,108,000","1,249,000","1,114,600"
Diluted NI Available to Com Stockholders,"1,303,000","1,785,000","1,108,000","1,249,000","1,114,600"
Basic EPS,-,0.0049,0.003,0.0034,0.003
Diluted EPS,-,0.0048,0.003,0.0034,0.003
Basic Average Shares,-,"363,500","368,000","367,100","370,000"
Diluted Average Shares,-,"370,400","375,700","373,000","376,600"
Total Operating Income as Reported,"1,365,000","2,313,000","2,052,000","1,692,000","1,610,300"
Total Expenses,"12,795,000","12,244,000","11,400,000","9,906,000","9,518,900"
Net Income from Continuing & Discontinued Operation,"1,303,000","1,785,000","1,108,000","1,249,000","1,114,600"
Normalized Income,"2,221,390","2,023,068","1,276,630","1,424,602","1,210,565"
Interest Income,"57,000","58,000","56,000","28,000","15,600"
Interest Expense,"144,000","133,000","128,000","103,000","70,700"
Net Interest Income,"-87,000","-75,000","-72,000","-75,000","-55,100"
EBIT,"1,994,000","2,440,000","2,108,000","1,720,000","1,625,900"
EBITDA,"2,594,000",-,-,-,-
Reconciled Cost of Revenue,"3,620,000","3,387,000","2,844,000","2,437,000","2,181,100"
Reconciled Depreciation,"600,000","557,000","531,000","464,000","414,700"
Net Income from Continuing Operation Net Minority Interest,"1,303,000","1,785,000","1,108,000","1,249,000","1,114,600"
Total Unusual Items Excluding Goodwill,"-1,294,000","-306,000","-231,000","-226,000","-133,100"
Total Unusual Items,"-1,294,000","-306,000","-231,000","-226,000","-133,100"
Normalized EBITDA,"3,888,000","3,303,000","2,870,000","2,410,000","2,173,700"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-375,610","-67,932","-62,370","-50,398","-37,135"
