Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"9,134,000","9,273,000","10,151,000","9,549,000","9,008,000"
Cost of Revenue,"6,897,000","7,039,000","7,672,000","7,095,000","6,658,000"
Gross Profit,"2,237,000","2,234,000","2,479,000","2,454,000","2,350,000"
Operating Expense,"901,000","925,000","956,000","914,000","922,000"
Operating Income,"1,336,000","1,309,000","1,523,000","1,540,000","1,428,000"
Net Non Operating Interest Income Expense,"-214,000","-218,000","-235,000","-241,000","-255,000"
Other Income Expense,"-168,000","-189,000","22,000","-10,000","-124,000"
Pretax Income,"954,000","902,000","1,310,000","1,289,000","1,049,000"
Tax Provision,"141,000","140,000","226,000","-99,000","190,000"
Net Income Common Stockholders,"808,000","759,000","1,080,000","1,384,000","854,000"
Diluted NI Available to Com Stockholders,"808,000","759,000","1,080,000","1,384,000","854,000"
Basic EPS,-,-,0.0077,0.0102,0.0059
Diluted EPS,-,-,0.0076,0.0101,0.0058
Basic Average Shares,-,-,"141,200","144,800","147,300"
Diluted Average Shares,-,-,"142,900","146,100","148,400"
Total Operating Income as Reported,-,-,-,"1,532,000","1,383,000"
Total Expenses,"7,798,000","7,964,000","8,628,000","8,009,000","7,580,000"
Net Income from Continuing & Discontinued Operation,"808,000","759,000","1,080,000","1,384,000","854,000"
Normalized Income,"900,038","872,400","1,089,960","1,401,480","968,800"
Interest Income,"3,000","3,000","3,000","3,000","26,000"
Interest Expense,"217,000","221,000","238,000","244,000","281,000"
Net Interest Income,"-214,000","-218,000","-235,000","-241,000","-255,000"
EBIT,"1,171,000","1,123,000","1,548,000","1,533,000","1,330,000"
EBITDA,"1,766,000",-,-,-,-
Reconciled Cost of Revenue,"6,897,000","7,039,000","7,672,000","7,095,000","6,658,000"
Reconciled Depreciation,"595,000","611,000","604,000","587,000","580,000"
Net Income from Continuing Operation Net Minority Interest,"808,000","759,000","1,080,000","1,384,000","854,000"
Total Unusual Items Excluding Goodwill,"-108,000","-135,000","-12,000","-19,000","-140,000"
Total Unusual Items,"-108,000","-135,000","-12,000","-19,000","-140,000"
Normalized EBITDA,"1,874,000","1,869,000","2,164,000","2,139,000","2,050,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-15,962","-21,600","-2,040","-1,520","-25,200"
