Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"5,643,464","5,562,140","5,071,654","4,368,428","3,611,989"
Cost of Revenue,"2,864,436","2,810,184","2,605,475","2,193,149","1,820,870"
Gross Profit,"2,779,028","2,751,956","2,466,179","2,175,279","1,791,119"
Operating Expense,"1,643,350","1,586,064","1,460,396","1,327,630","1,133,303"
Operating Income,"1,135,678","1,165,892","1,005,783","847,649","657,816"
Net Non Operating Interest Income Expense,"-436,408","-451,987","-507,012","-465,623","-388,680"
Other Income Expense,"-17,841","-21,308","-65,733","-95,194","-109,277"
Pretax Income,"681,429","692,597","433,038","286,832","159,859"
Tax Provision,"172,974","185,352","67,679","53,850","45,451"
Net Income Common Stockholders,"508,164","507,450","365,359","232,982","126,800"
Diluted NI Available to Com Stockholders,"508,164","507,450","365,359","232,982","126,800"
Basic EPS,-,-,0.0046,0.003,0.0018
Diluted EPS,-,-,0.0046,0.003,0.0018
Basic Average Shares,-,-,"79,779","76,854","70,117"
Diluted Average Shares,-,-,"80,197","77,535","70,816"
Total Operating Income as Reported,"1,143,607","1,169,631","977,383","809,014","618,739"
Total Expenses,"4,507,786","4,396,248","4,065,871","3,520,779","2,954,173"
Net Income from Continuing & Discontinued Operation,"508,164","507,450","365,359","232,982","126,800"
Normalized Income,"546,185","543,381","432,691","317,760","151,177"
Interest Income,"27,768","27,697","14,482","13,075","3,476"
Interest Expense,"464,176","479,684","521,494","478,698","392,156"
Net Interest Income,"-436,408","-451,987","-507,012","-465,623","-388,680"
EBIT,"1,145,605","1,172,281","954,532","765,530","552,015"
EBITDA,"2,453,133",-,-,-,-
Reconciled Cost of Revenue,"2,864,436","2,810,184","2,605,475","2,193,149","1,820,870"
Reconciled Depreciation,"1,307,528","1,284,837","1,227,489","1,042,480","837,207"
Net Income from Continuing Operation Net Minority Interest,"508,164","507,450","365,359","232,982","114,408"
Total Unusual Items Excluding Goodwill,"-50,955","-49,086","-79,777","-104,407","-51,353"
Total Unusual Items,"-50,955","-49,086","-79,777","-104,407","-51,353"
Normalized EBITDA,"2,504,088","2,506,204","2,261,798","1,912,417","1,440,575"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-12,934","-13,155","-12,445","-19,629","-14,584"
