Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"1,496,299","1,460,155","1,400,053","1,363,899","1,294,001"
Cost of Revenue,"440,027","430,594","416,396","405,542","388,927"
Gross Profit,"1,056,272","1,029,561","983,657","958,357","905,074"
Operating Expense,"549,526","538,012","533,335","510,266","482,433"
Operating Income,"506,746","491,549","450,322","448,091","422,641"
Net Non Operating Interest Income Expense,"-190,027","-171,041","-197,482","-198,290","-192,349"
Other Income Expense,"352,446","145,397","160,759","208,242","212,528"
Pretax Income,"669,165","465,905","413,599","458,043","442,820"
Tax Provision,-,"1,457",0,0,"4,410"
Net Income Common Stockholders,"635,434","439,286","390,153","433,059","411,124"
Average Dilution Earnings,-,-,0,-,-
Diluted NI Available to Com Stockholders,"635,434","439,286","390,153","433,059","411,124"
Basic EPS,-,-,0.0059,0.0066,0.0063
Diluted EPS,-,-,0.0059,0.0066,0.0063
Basic Average Shares,-,-,"66,041","65,829","65,472"
Diluted Average Shares,-,-,"66,085","65,898","65,588"
Total Expenses,"989,553","968,606","949,731","915,808","871,360"
Net Income from Continuing & Discontinued Operation,"635,434","439,286","390,153","433,059","414,979"
Normalized Income,"635,000","437,565","319,779","399,903","252,781"
Interest Income,"28,816","46,298","23,010","24,604","27,305"
Interest Expense,"218,843","217,339","220,492","222,894","219,654"
Net Interest Income,"-190,027","-171,041","-197,482","-198,290","-192,349"
EBIT,"888,008","683,244","634,091","680,937","662,474"
EBITDA,"1,382,749",-,-,-,-
Reconciled Cost of Revenue,"440,027","430,594","416,396","405,542","388,927"
Reconciled Depreciation,"494,741","483,750","479,884","468,881","441,682"
Net Income from Continuing Operation Net Minority Interest,"635,434","439,286","390,153","433,059","414,979"
Total Unusual Items Excluding Goodwill,595,"1,726","70,374","33,156","163,830"
Total Unusual Items,595,"1,726","70,374","33,156","163,830"
Normalized EBITDA,"1,382,154","1,165,268","1,043,601","1,116,662","940,326"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,160.65,5.3976,0,0,"1,632"
