Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"8,484,434","8,526,500","8,448,200","7,752,000","7,639,100"
Cost of Revenue,"4,311,426","4,403,273","4,474,182","3,812,418","3,824,377"
Gross Profit,"4,173,008","4,123,227","3,974,018","3,939,582","3,814,723"
Operating Expense,"2,298,423","2,293,062","2,274,089","2,021,380","1,954,893"
Operating Income,"1,874,585","1,830,165","1,699,929","1,918,202","1,859,830"
Net Non Operating Interest Income Expense,"-536,178","-533,197","-498,805","-421,755","-400,961"
Other Income Expense,"-113,748","-106,867","128,366","78,008","45,920"
Pretax Income,"1,224,629","1,190,071","1,329,491","1,574,407","1,504,818"
Tax Provision,"281,982","273,499","288,972","578,892","554,997"
Net Income Common Stockholders,"935,128","909,053","1,033,000","987,996","942,302"
Diluted NI Available to Com Stockholders,"935,128","909,053","1,033,000","987,996","942,302"
Basic EPS,-,-,0.0033,0.0031,0.003
Diluted EPS,-,-,0.0033,0.0031,0.003
Basic Average Shares,-,-,"317,370","317,411","317,650"
Diluted Average Shares,-,-,"317,994","318,032","318,454"
Total Operating Income as Reported,"1,634,911","1,590,491","1,699,930","1,918,154","1,859,859"
Total Expenses,"6,609,849","6,696,335","6,748,271","5,833,798","5,779,270"
Interest Expense,"536,178","533,197","498,805","421,755","400,961"
Net Interest Income,"-536,178","-533,197","-498,805","-421,755","-400,961"
Net Income from Continuing & Discontinued Operation,"935,128","909,053","1,033,000","987,996","942,302"
Normalized Income,"935,128","1,093,623","1,033,000","987,996","942,302"
EBIT,"1,760,807","1,723,268","1,828,296","1,996,162","1,905,779"
EBITDA,"2,841,543",-,-,-,-
Reconciled Cost of Revenue,"4,311,426","4,403,273","4,474,182","4,312,212","3,824,377"
Reconciled Depreciation,"1,080,736","1,080,658","1,071,956","274,008","715,466"
Net Income from Continuing Operation Net Minority Interest,"935,128","909,053","1,033,000","987,996","942,302"
Total Unusual Items Excluding Goodwill,-,"-239,644",-,-,-
Total Unusual Items,-,"-239,644",-,-,-
Normalized EBITDA,"2,841,543","3,043,570","2,900,252","2,769,964","2,621,245"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,"-55,074",0,0,0
