Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"10,696,268","10,878,673","11,009,452","11,074,481","10,845,645"
Cost of Revenue,"6,414,796","6,699,806","7,306,815","7,011,379","6,535,116"
Gross Profit,"4,281,472","4,178,867","3,702,637","4,063,102","4,310,529"
Operating Expense,"2,553,330","2,498,343","2,700,951","2,281,318","2,361,357"
Operating Income,"1,728,142","1,680,524","1,001,686","1,781,784","1,949,172"
Net Non Operating Interest Income Expense,"-646,116","-194,513","-643,484","-374,146","-521,243"
Other Income Expense,"-242,924","-397,592","-532,473","-439,715","-2,809,691"
Pretax Income,"839,102","1,088,419","-174,271","967,923","-1,381,762"
Tax Provision,"-283,790","-169,825","-1,036,826","542,570","-817,259"
Net Income Common Stockholders,"1,105,403","1,241,226","848,661","411,612","-583,618"
Diluted NI Available to Com Stockholders,"1,105,403","1,241,226","848,661","411,612","-583,618"
Basic EPS,-,-,0.0047,0.0023,-0.0033
Diluted EPS,-,-,0.0046,0.0023,-0.0033
Basic Average Shares,-,-,"181,410","179,672","178,886"
Diluted Average Shares,-,-,"183,379","180,536","178,886"
Total Operating Income as Reported,"1,506,999","1,390,497","469,365","1,259,682","-886,465"
Total Expenses,"8,968,126","9,198,149","10,007,766","9,292,697","8,896,473"
Interest Income,"102,910","547,912","63,864","288,197","145,127"
Interest Expense,"749,026","742,425","707,348","662,343","666,370"
Net Interest Income,"-646,116","-194,513","-643,484","-374,146","-521,243"
Net Income from Continuing & Discontinued Operation,"1,122,892","1,258,244","862,555","425,353","-564,503"
Normalized Income,"1,180,147","1,364,133","1,156,540","681,561","1,096,341"
EBIT,"1,588,128","1,830,844","533,077","1,630,266","-715,392"
EBITDA,"3,808,813",-,-,-,-
Reconciled Cost of Revenue,"5,716,563","5,997,509","6,635,702","6,322,779","5,759,012"
Reconciled Depreciation,"2,220,685","2,182,313","2,040,555","2,078,578","2,123,291"
Net Income from Continuing Operation Net Minority Interest,"1,122,892","1,258,244","862,555","425,353","-564,503"
Total Unusual Items Excluding Goodwill,"-78,432","-145,053","-402,719","-427,014","-2,768,074"
Total Unusual Items,"-78,432","-145,053","-402,719","-427,014","-2,768,074"
Normalized EBITDA,"3,887,245","4,158,210","2,976,351","4,135,858","4,175,973"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-21,177","-39,164","-108,734","-170,806","-1,107,230"
