Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"5,047,600","5,147,800","4,275,900","2,571,003","2,562,087"
Cost of Revenue,"2,642,800","2,734,800","2,454,400","1,123,340","1,088,572"
Gross Profit,"2,404,800","2,413,000","1,821,500","1,447,663","1,473,515"
Operating Expense,"1,231,100","1,227,200","887,900","788,944","791,632"
Operating Income,"1,173,700","1,185,800","933,600","658,719","681,883"
Net Non Operating Interest Income Expense,"-379,100","-374,000","-279,600","-171,001","-161,726"
Other Income Expense,"-52,200","-39,000","-54,400",-11,"25,583"
Pretax Income,"742,400","772,800","599,600","487,707","545,740"
Tax Provision,"97,800","97,000","59,000","151,155","184,540"
Earnings from Equity Interest Net of Tax,"9,800","9,800","5,400",-,-
Net Income Common Stockholders,"639,800","669,900","535,800","323,336","345,863"
Diluted NI Available to Com Stockholders,"639,800","669,900","535,800","323,336","345,863"
Basic EPS,-,-,0.0025,0.0023,0.0024
Diluted EPS,-,-,0.0025,0.0023,0.0024
Basic Average Shares,-,-,"213,900","142,464","142,068"
Diluted Average Shares,-,-,"214,100","142,560","142,475"
Total Operating Income as Reported,"1,173,700","1,185,800","933,600","658,719","681,883"
Total Expenses,"3,873,900","3,962,000","3,342,300","1,912,284","1,880,204"
Interest Expense,"379,100","374,000","279,600","171,001","161,726"
Net Interest Income,"-379,100","-374,000","-279,600","-171,001","-161,726"
Net Income from Continuing & Discontinued Operation,"639,800","669,900","535,800","323,920","346,577"
Normalized Income,"633,722","660,264","527,854","316,542","340,610"
EBIT,"1,121,500","1,146,800","879,200","658,708","707,466"
EBITDA,"1,988,100",-,-,-,-
Reconciled Cost of Revenue,"3,035,300","3,127,100","2,410,800","1,091,173","1,061,858"
Reconciled Depreciation,"474,100","469,400","662,400","403,914","365,233"
Net Income from Continuing Operation Net Minority Interest,"639,800","669,900","535,800","323,920","346,577"
Total Unusual Items Excluding Goodwill,"7,000","11,000","8,800","10,693","9,013"
Total Unusual Items,"7,000","11,000","8,800","10,693","9,013"
Normalized EBITDA,"1,981,100","1,997,500","1,532,800","1,051,929","1,063,686"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,922.1444,"1,364",853.6,"3,315","3,046"
