Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"4,483,700","4,348,000","3,722,800","3,435,300","2,963,700"
Cost of Revenue,"1,147,700","1,114,400","939,400","875,300","797,400"
Gross Profit,"3,336,000","3,233,600","2,783,400","2,560,000","2,166,300"
Operating Expense,"2,038,400","1,994,900","1,710,700","1,537,300","1,382,500"
Operating Income,"1,297,600","1,238,700","1,072,700","1,022,700","783,800"
Net Non Operating Interest Income Expense,"14,000","11,500","2,100","-2,900","-8,400"
Other Income Expense,"-58,600","-83,700","-313,400","15,100","-37,500"
Pretax Income,"1,253,000","1,166,500","761,400","1,034,900","737,900"
Tax Provision,"145,200","119,600","39,200","451,300","168,400"
Net Income Common Stockholders,"1,107,800","1,046,900","722,200","583,600","569,500"
Diluted NI Available to Com Stockholders,"1,107,800","1,046,900","722,200","583,600","569,500"
Basic EPS,-,0.005,0.0035,0.003,0.0027
Diluted EPS,-,0.0049,0.0034,0.0029,0.0026
Basic Average Shares,-,"208,300","209,200","210,900","213,000"
Diluted Average Shares,-,"212,200","213,600","215,900","217,800"
Total Operating Income as Reported,"1,230,700","1,146,800","748,200",-,-
Total Expenses,"3,186,100","3,109,300","2,650,100","2,412,600","2,179,900"
Net Income from Continuing & Discontinued Operation,"1,107,800","1,046,900","722,200","583,600","569,500"
Normalized Income,"1,161,289","1,123,594","1,018,516","574,480","598,751"
Interest Income,"34,700","32,200","32,000","20,300","10,800"
Interest Expense,-,"20,700","29,900","23,200","19,200"
Net Interest Income,"14,000","11,500","2,100","-2,900","-8,400"
EBIT,"1,246,100","1,187,200","791,300","1,058,100","757,100"
EBITDA,"1,339,300",-,-,-,-
Reconciled Cost of Revenue,"1,147,700","1,114,400","939,400","875,300","797,400"
Reconciled Depreciation,"93,200","89,300","77,400","81,900","71,200"
Net Income from Continuing Operation Net Minority Interest,"1,107,800","1,046,900","722,200","583,600","569,500"
Total Unusual Items Excluding Goodwill,"-60,500","-85,500","-312,400","15,200","-37,900"
Total Unusual Items,"-60,500","-85,500","-312,400","15,200","-37,900"
Normalized EBITDA,"1,399,800","1,362,000","1,181,100","1,124,800","866,200"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-7,011","-8,806","-16,084","6,080","-8,649"
