Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"33,708,000","34,438,000","35,985,000","33,531,000","31,360,000"
Cost of Revenue,"23,441,000","24,112,000","26,007,000","24,161,000","22,688,000"
Gross Profit,"10,267,000","10,326,000","9,978,000","9,370,000","8,672,000"
Operating Expense,"5,922,000","5,984,000","6,136,000","5,559,000","5,512,000"
Operating Income,"4,345,000","4,342,000","3,842,000","3,811,000","3,160,000"
Net Non Operating Interest Income Expense,"-1,623,000","-1,616,000","-1,554,000","-1,560,000","-1,536,000"
Other Income Expense,"66,000","1,259,000","-56,000","1,505,000","365,000"
Pretax Income,"2,788,000","3,985,000","2,232,000","3,756,000","1,989,000"
Tax Provision,"170,000","774,000","120,000","-125,000","761,000"
Earnings from Equity Interest Net of Tax,"-180,000","-183,000","-28,000","-32,000","-24,000"
Net Income Common Stockholders,"2,611,000","2,936,000","2,010,000","3,770,000","1,134,000"
Diluted NI Available to Com Stockholders,"2,611,000","2,936,000","2,010,000","3,770,000","1,134,000"
Basic EPS,-,-,0.0021,0.004,0.0012
Diluted EPS,-,-,0.0021,0.004,0.0012
Basic Average Shares,-,-,"967,000","947,000","924,000"
Diluted Average Shares,-,-,"969,000","949,000","927,000"
Total Operating Income as Reported,"4,376,000","4,374,000","3,898,000","4,260,000","3,112,000"
Total Expenses,"29,363,000","30,096,000","32,143,000","29,720,000","28,200,000"
Interest Expense,"1,623,000","1,616,000","1,554,000","1,560,000","1,536,000"
Net Interest Income,"-1,623,000","-1,616,000","-1,554,000","-1,560,000","-1,536,000"
Net Income from Continuing & Discontinued Operation,"2,611,000","2,936,000","2,010,000","3,770,000","1,134,000"
Normalized Income,"2,581,890","2,910,215","1,957,011","3,500,600","1,163,616"
EBIT,"4,411,000","5,601,000","3,786,000","5,316,000","3,525,000"
EBITDA,"10,109,000",-,-,-,-
Reconciled Cost of Revenue,"21,941,000","22,584,000","24,389,000","22,562,000","21,048,000"
Reconciled Depreciation,"5,698,000","5,780,000","5,971,000","5,427,000","5,576,000"
Net Income from Continuing Operation Net Minority Interest,"2,611,000","2,936,000","2,010,000","3,770,000","1,134,000"
Total Unusual Items Excluding Goodwill,"31,000","32,000","56,000","449,000","-48,000"
Total Unusual Items,"31,000","32,000","56,000","449,000","-48,000"
Normalized EBITDA,"10,078,000","11,349,000","9,701,000","10,294,000","9,149,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"1,890","6,215","3,011","179,600","-18,384"
