Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"11,667,000","12,067,000","11,223,000","10,059,844","8,773,564"
Cost of Revenue,"2,302,000","2,163,000","1,965,000","1,756,531","1,596,698"
Gross Profit,"9,365,000","9,904,000","9,258,000","8,303,313","7,176,866"
Operating Expense,"8,650,000","8,977,000","8,416,000","7,661,437","6,624,367"
Operating Income,"715,000","927,000","842,000","641,876","552,499"
Net Non Operating Interest Income Expense,"-124,000","-114,000","-119,000","-147,575","-153,422"
Other Income Expense,"-1,154,000","-38,000","-238,000","-77,537","-122,477"
Pretax Income,"-563,000","775,000","485,000","416,764","276,600"
Tax Provision,"162,000","203,000","87,000","45,405","15,315"
Net Income Common Stockholders,"-633,000","565,000","406,000","377,964","281,848"
Diluted NI Available to Com Stockholders,"-633,000","565,000","406,000","377,964","281,848"
Basic EPS,-,-,0.0027,0.0025,0.0019
Diluted EPS,-,-,0.0027,0.0024,0.0018
Basic Average Shares,-,-,"149,961","151,619","150,367"
Diluted Average Shares,-,-,"152,889","156,385","154,517"
Total Operating Income as Reported,"-260,000","903,000","714,000","625,138","461,702"
Total Expenses,"10,952,000","11,140,000","10,381,000","9,417,968","8,221,065"
Net Income from Continuing & Discontinued Operation,"-633,000","565,000","406,000","377,964","281,848"
Normalized Income,"207,960","601,900","599,284","444,782","393,507"
Interest Income,"58,000","59,000","71,000","34,137","19,726"
Interest Expense,"182,000","173,000","190,000","181,712","173,148"
Net Interest Income,"-124,000","-114,000","-119,000","-147,575","-153,422"
EBIT,"-381,000","948,000","675,000","598,476","449,748"
EBITDA,"530,000",-,-,-,-
Reconciled Cost of Revenue,"1,590,000","1,451,000","1,247,000","1,142,432","1,119,637"
Reconciled Depreciation,"911,000","910,000","1,001,000","889,544","794,202"
Net Income from Continuing Operation Net Minority Interest,"-633,000","565,000","406,000","377,964","281,848"
Total Unusual Items Excluding Goodwill,"-1,152,000","-50,000","-236,000","-74,992","-118,158"
Total Unusual Items,"-1,152,000","-50,000","-236,000","-74,992","-118,158"
Normalized EBITDA,"1,682,000","1,908,000","1,912,000","1,563,012","1,362,108"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-311,040","-13,100","-42,716","-8,174","-6,499"
