Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"1,329,360","1,308,454","1,196,604","1,105,009","991,875"
Cost of Revenue,"376,669","365,426","317,402","291,147","265,560"
Gross Profit,"952,691","943,028","879,202","813,862","726,315"
Operating Expense,"310,224","309,275","290,306","272,257","264,366"
Operating Income,"642,467","633,753","588,896","541,605","461,949"
Net Non Operating Interest Income Expense,"-180,560","-183,801","-177,831","-151,878","-127,461"
Other Income Expense,"14,892","12,479","45,259","128,120","78,448"
Pretax Income,"476,799","462,431","456,324","517,847","412,936"
Tax Provision,"11,674","11,308","9,244","3,625","15,847"
Net Income Common Stockholders,"432,700","419,287","414,566","478,038","365,335"
Average Dilution Earnings,"23,024","22,119","21,266","26,969",792
Diluted NI Available to Com Stockholders,"455,724","441,406","435,832","505,007","366,127"
Basic EPS,-,-,0.0033,0.0038,0.0029
Diluted EPS,-,-,0.0033,0.0038,0.0029
Basic Average Shares,-,-,"126,087","125,968","125,088"
Diluted Average Shares,-,-,"133,159","134,156","125,948"
Total Operating Income as Reported,"643,672","634,958","619,703","541,605","449,838"
Total Expenses,"686,893","674,701","607,708","563,404","529,926"
Net Income from Continuing & Discontinued Operation,"433,376","419,967","415,289","479,013","366,127"
Normalized Income,"433,376","418,792","385,098","367,014","369,633"
Interest Income,"7,753","7,467","5,292","6,736","10,998"
Interest Expense,"188,313","191,268","183,123","158,614","138,459"
Net Interest Income,"-180,560","-183,801","-177,831","-151,878","-127,461"
EBIT,"665,112","653,699","639,447","676,461","551,395"
EBITDA,"885,585",-,-,-,-
Reconciled Cost of Revenue,"376,669","365,426","317,402","291,147","265,560"
Reconciled Depreciation,"220,473","219,857","209,050","193,296","182,560"
Net Income from Continuing Operation Net Minority Interest,"433,376","419,967","415,289","479,013","366,127"
Total Unusual Items Excluding Goodwill,-,"1,205","30,807","112,789","-3,646"
Total Unusual Items,-,"1,205","30,807","112,789","-3,646"
Normalized EBITDA,"885,585","872,351","817,690","756,968","737,601"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,30.125,616.14,789.5385,-139.9204
