Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"5,391,400","5,333,700","4,965,100","4,390,500","3,962,036"
Cost of Revenue,"2,863,900","2,818,300","2,566,200","2,226,900","1,997,259"
Gross Profit,"2,527,500","2,515,400","2,398,900","2,163,600","1,964,777"
Operating Expense,"1,461,700","1,459,400","1,400,200","1,282,800","1,169,470"
Operating Income,"1,065,800","1,056,000","998,700","880,800","795,307"
Net Non Operating Interest Income Expense,"-11,700","-13,500","-12,200","-8,700","-6,110"
Other Income Expense,"1,300","1,200",500,"1,000",532
Pretax Income,"1,055,400","1,043,700","987,000","873,100","789,729"
Tax Provision,"256,000","252,800","235,100","294,500","290,251"
Net Income Common Stockholders,"799,400","790,900","751,900","578,600","499,478"
Diluted NI Available to Com Stockholders,"799,400","790,900","751,900","578,600","499,478"
Basic EPS,-,0.0014,0.0013,0.001,0
Diluted EPS,-,0.0014,0.0013,0.001,0
Basic Average Shares,-,"573,200","574,000","576,400","577,900"
Diluted Average Shares,-,"574,400","574,400","576,600","578,316"
Total Operating Income as Reported,"1,067,100","1,057,200","999,200","881,800","795,839"
Total Expenses,"4,325,600","4,277,700","3,966,400","3,509,700","3,166,729"
Net Income from Continuing & Discontinued Operation,"799,400","790,900","751,900","578,600","499,478"
Normalized Income,"798,415","789,990","751,519","577,937","499,142"
Interest Income,400,400,400,400,394
Interest Expense,"12,100","13,900","12,600","9,100","6,504"
Net Interest Income,"-11,700","-13,500","-12,200","-8,700","-6,110"
EBIT,"1,067,500","1,057,600","999,600","882,200","796,233"
EBITDA,"1,218,400",-,-,-,-
Reconciled Cost of Revenue,"2,863,900","2,818,300","2,566,200","2,226,900","1,997,259"
Reconciled Depreciation,"150,900","148,700","138,200","127,400","104,052"
Net Income from Continuing Operation Net Minority Interest,"799,400","790,900","751,900","578,600","499,478"
Total Unusual Items Excluding Goodwill,"1,300","1,200",500,"1,000",532
Total Unusual Items,"1,300","1,200",500,"1,000",532
Normalized EBITDA,"1,217,100","1,205,100","1,137,300","1,008,600","899,753"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,315.3307,290.4,119,337,195.776
