Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"5,839,400","5,764,600","5,485,100","5,283,300","4,984,900"
Cost of Revenue,"3,752,600","3,712,200","3,525,700","3,350,800","3,180,300"
Gross Profit,"2,086,800","2,052,400","1,959,400","1,932,500","1,804,600"
Operating Expense,"1,331,800","1,329,600","1,271,000","1,226,500","1,158,000"
Operating Income,"755,000","722,800","688,400","706,000","646,600"
Net Non Operating Interest Income Expense,"-92,600","-94,200","-74,500","-49,400","-49,100"
Other Income Expense,-,"-53,300","-76,900","-21,800","-15,400"
Pretax Income,"601,200","575,300","537,000","634,800","582,100"
Tax Provision,"145,300","144,000","147,000","159,500","169,700"
Net Income Common Stockholders,"456,300","431,900","389,600","472,600","413,200"
Diluted NI Available to Com Stockholders,"456,300","431,900","389,600","472,600","413,200"
Basic EPS,-,-,0.0028,0.0031,0.0027
Diluted EPS,-,-,0.0027,0.003,0.0026
Basic Average Shares,-,-,"140,499","151,907","153,412"
Diluted Average Shares,-,-,"146,400","155,800","157,800"
Total Operating Income as Reported,"717,900","698,500","595,200","692,100","632,700"
Total Expenses,"5,084,400","5,041,800","4,796,700","4,577,300","4,338,300"
Net Income from Continuing & Discontinued Operation,"456,300","431,900","389,600","472,600","413,200"
Normalized Income,"508,624","473,525","448,533","490,854","422,241"
Interest Expense,"92,600","94,200","74,500","49,400","49,100"
Net Interest Income,"-92,600","-94,200","-74,500","-49,400","-49,100"
EBIT,"693,800","669,500","611,500","684,200","631,200"
EBITDA,"846,200",-,-,-,-
Reconciled Cost of Revenue,"3,641,900","3,600,900","3,412,200","3,252,200","3,085,700"
Reconciled Depreciation,"152,400","152,700","149,600","130,300","122,700"
Net Income from Continuing Operation Net Minority Interest,"456,300","431,900","389,800","475,200","412,400"
Total Unusual Items Excluding Goodwill,"-69,000","-55,500","-80,900","-20,900","-13,900"
Total Unusual Items,"-69,000","-55,500","-80,900","-20,900","-13,900"
Normalized EBITDA,"915,200","877,700","842,000","835,400","767,800"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-16,676","-13,875","-22,167","-5,246","-4,059"
