Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"73,357,000","70,697,000","55,838,000","40,653,000","27,638,000"
Cost of Revenue,"13,413,000","12,770,000","9,355,000","5,454,000","3,789,000"
Gross Profit,"59,944,000","57,927,000","46,483,000","35,199,000","23,849,000"
Operating Expense,"33,382,000","33,941,000","21,570,000","14,996,000","11,422,000"
Operating Income,"26,562,000","23,986,000","24,913,000","20,203,000","12,427,000"
Net Non Operating Interest Income Expense,"934,000","904,000","652,000","392,000","166,000"
Other Income Expense,"-305,000","-78,000","-204,000","-1,000","-75,000"
Pretax Income,"27,191,000","24,812,000","25,361,000","20,594,000","12,518,000"
Tax Provision,"6,233,000","6,327,000","3,249,000","4,660,000","2,301,000"
Net Income Common Stockholders,"20,958,000","18,485,000","22,111,000","15,920,000","10,188,000"
Average Dilution Earnings,-,0,"1,000","14,000","29,000"
Diluted NI Available to Com Stockholders,"20,958,000","18,485,000","22,112,000","15,934,000","10,217,000"
Basic EPS,-,0.0065,0.0077,0.0055,0.0036
Diluted EPS,-,0.0064,0.0076,0.0054,0.0035
Basic Average Shares,-,"2,854,000","2,890,000","2,901,000","2,863,000"
Diluted Average Shares,-,"2,876,000","2,921,000","2,956,000","2,925,000"
Total Operating Income as Reported,"26,562,000","23,986,000","24,913,000","20,203,000","12,427,000"
Total Expenses,"46,795,000","46,711,000","30,925,000","20,450,000","15,211,000"
Net Income from Continuing & Discontinued Operation,"20,958,000","18,485,000","22,112,000","15,934,000","10,217,000"
Normalized Income,"20,958,000","18,563,225","22,297,310","15,938,620","10,279,320"
Interest Income,"954,000","924,000","661,000","398,000","176,000"
Interest Expense,-,"20,000","9,000","6,000","10,000"
Net Interest Income,"934,000","904,000","652,000","392,000","166,000"
EBIT,"27,408,000","24,832,000","25,370,000","20,600,000","12,528,000"
EBITDA,"33,391,000",-,-,-,-
Reconciled Cost of Revenue,"13,413,000","12,770,000","9,355,000","5,454,000","3,789,000"
Reconciled Depreciation,"5,983,000","5,741,000","4,315,000","3,025,000","2,342,000"
Net Income from Continuing Operation Net Minority Interest,"20,958,000","18,485,000","22,112,000","15,934,000","10,217,000"
Total Unusual Items Excluding Goodwill,-,"-105,000","-213,000","-6,000","-76,000"
Total Unusual Items,-,"-105,000","-213,000","-6,000","-76,000"
Normalized EBITDA,"33,391,000","30,678,000","29,898,000","23,631,000","14,946,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,"-26,775","-27,690","-1,380","-13,680"
