Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"13,408,000","14,402,000","18,628,000","16,403,000","14,830,000"
Cost of Revenue,"12,890,000","13,105,000","13,445,000","12,022,000","17,580,000"
Gross Profit,"518,000","1,297,000","5,183,000","4,381,000","-2,750,000"
Operating Expense,"594,000","623,000","637,000","829,000","691,000"
Operating Income,"-76,000","674,000","4,546,000","3,552,000","-3,441,000"
Net Non Operating Interest Income Expense,"-601,000","-620,000","-945,000","-801,000","-755,000"
Other Income Expense,"188,000","252,000","291,000","151,000","724,000"
Pretax Income,"-489,000","306,000","3,892,000","2,902,000","-3,472,000"
Tax Provision,"345,000","510,000","991,000","883,000","371,000"
Earnings from Equity Interest Net of Tax,"18,000","12,000","8,000","10,000","11,000"
Net Income Common Stockholders,"-764,000","-242,000","2,602,000","1,813,000","-4,157,000"
Diluted NI Available to Com Stockholders,"-764,000","-242,000","2,602,000","1,813,000","-4,157,000"
Basic EPS,-,0,0.0016,0.0013,-0.0032
Diluted EPS,-,0,0.0016,0.0013,-0.0032
Basic Average Shares,-,"1,451,000","1,449,000","1,447,000","1,318,000"
Diluted Average Shares,-,"1,451,000","1,458,000","1,454,000","1,318,000"
Total Operating Income as Reported,"297,000","1,091,000","4,754,000","3,633,000","-2,792,000"
Total Expenses,"13,484,000","13,728,000","14,082,000","12,851,000","18,271,000"
Interest Expense,"601,000","620,000","945,000","801,000","755,000"
Net Interest Income,"-601,000","-620,000","-945,000","-801,000","-755,000"
Net Income from Continuing & Discontinued Operation,"-761,000","-239,000","2,602,000","1,817,000","-4,315,000"
Normalized Income,"-996,600","-526,700","2,455,750","1,679,600","-4,722,750"
EBIT,"112,000","926,000","4,837,000","3,703,000","-2,717,000"
EBITDA,"1,518,000",-,-,-,-
Reconciled Cost of Revenue,"12,890,000","13,105,000","13,445,000","12,022,000","17,580,000"
Reconciled Depreciation,"1,406,000","1,412,000","1,754,000","1,714,000","2,610,000"
Net Income from Continuing Operation Net Minority Interest,"-763,000","-242,000","2,617,000","1,751,000","-4,122,000"
Total Unusual Items Excluding Goodwill,"320,000","390,000","215,000","102,000","675,000"
Total Unusual Items,"320,000","390,000","215,000","102,000","675,000"
Normalized EBITDA,"1,198,000","1,948,000","6,376,000","5,315,000","-782,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"86,400","105,300","53,750","30,600","74,250"
