Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"10,861,000","11,035,000","11,261,000","14,017,000","14,562,000"
Cost of Revenue,"3,304,000","3,424,000","3,647,000","4,577,000","5,479,000"
Gross Profit,"7,557,000","7,611,000","7,614,000","9,440,000","9,083,000"
Operating Expense,"6,241,000","5,775,000","5,256,000","6,862,000","6,680,000"
Operating Income,"1,316,000","1,836,000","2,358,000","2,578,000","2,403,000"
Net Non Operating Interest Income Expense,"-972,000","-962,000","-1,051,000","-1,099,000","-1,054,000"
Other Income Expense,"289,000","243,000","205,000","-2,308,000","-10,581,000"
Pretax Income,"633,000","1,117,000","1,512,000","-829,000","-9,232,000"
Tax Provision,"60,000","213,000","490,000","895,000","-3,055,000"
Net Income Common Stockholders,"667,000","908,000","981,000","-1,724,000","-6,177,000"
Diluted NI Available to Com Stockholders,"667,000","908,000","981,000","-1,724,000","-6,177,000"
Basic EPS,-,0.0017,0.002,-0.0039,-0.0145
Diluted EPS,-,0.0017,0.002,-0.0039,-0.0145
Basic Average Shares,-,"535,000","492,000","444,000","426,000"
Diluted Average Shares,-,"542,000","494,000","444,000","426,000"
Total Operating Income as Reported,"2,413,000","2,510,000","2,502,000","172,000","-8,262,000"
Total Expenses,"9,545,000","9,199,000","8,903,000","11,439,000","12,159,000"
Interest Expense,"972,000","962,000","1,051,000","1,099,000","1,054,000"
Net Interest Income,"-972,000","-962,000","-1,051,000","-1,099,000","-1,054,000"
Net Income from Continuing & Discontinued Operation,"666,000","912,000","1,348,000","-1,724,000","-6,177,000"
Normalized Income,"573,000","904,000","1,022,000","-339,200","901,689"
EBIT,"1,605,000","2,079,000","2,563,000","270,000","-8,178,000"
EBITDA,"2,772,000",-,-,-,-
Reconciled Cost of Revenue,"3,304,000","3,424,000","3,647,000","4,577,000","5,479,000"
Reconciled Depreciation,"1,167,000","1,217,000","1,384,000","1,700,000","1,997,000"
Net Income from Continuing Operation Net Minority Interest,"573,000","904,000","1,022,000","-1,724,000","-6,177,000"
Total Unusual Items Excluding Goodwill,-,-,0,"-2,308,000","-10,581,000"
Total Unusual Items,-,-,0,"-2,308,000","-10,581,000"
Normalized EBITDA,"2,772,000","3,296,000","3,947,000","4,278,000","4,400,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,"-923,200","-3,502,311"
