Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,"2,267,982","2,242,447","2,161,407","2,090,041","1,995,034"
Cost of Revenue,"358,505","356,577","361,481","353,485","337,205"
Gross Profit,"1,909,477","1,885,870","1,799,926","1,736,556","1,657,829"
Operating Expense,"1,419,095","1,367,407","1,190,601","1,159,491","1,101,401"
Operating Income,"490,382","518,463","609,325","577,065","556,428"
Other Income Expense,"12,973","22,648","-5,565","-1,548","-6,537"
Pretax Income,"503,355","541,111","603,760","575,517","549,891"
Tax Provision,"107,999","113,377","150,071","154,756","184,036"
Net Income Common Stockholders,"395,356","427,734","453,689","420,761","365,855"
Diluted NI Available to Com Stockholders,"395,356","427,734","453,689","420,761","365,855"
Basic EPS,-,0.0071,0.0074,0.0066,0.0054
Diluted EPS,-,0.0071,0.0073,0.0065,0.0054
Basic Average Shares,-,"60,044","61,262","64,173","67,433"
Diluted Average Shares,-,"60,456","62,013","64,775","67,984"
Total Operating Income as Reported,"482,582","518,463","590,899","563,956","547,377"
Total Expenses,"1,777,600","1,723,984","1,552,082","1,512,976","1,438,606"
Net Income from Continuing & Discontinued Operation,"395,356","427,734","453,689","420,761","365,855"
Normalized Income,"346,733","427,734","467,527","430,344","371,874"
EBIT,"490,382","518,463","609,325","577,065","556,428"
EBITDA,"563,867",-,-,-,-
Reconciled Cost of Revenue,"371,565","356,577","361,481","353,485","337,205"
Reconciled Depreciation,"73,485","68,507","59,491","61,148","56,776"
Net Income from Continuing Operation Net Minority Interest,"340,648","427,734","453,689","420,761","365,855"
Total Unusual Items Excluding Goodwill,"-7,800",0,"-18,426","-13,109","-9,051"
Total Unusual Items,"-7,800",0,"-18,426","-13,109","-9,051"
Normalized EBITDA,"571,667","586,970","687,242","651,322","622,255"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-1,674",0,"-4,588","-3,526","-3,032"
