Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"11,354,000","10,333,000","8,423,000","9,123,000","9,241,000"
Cost of Revenue,"7,318,000","6,610,000","5,569,000","6,181,000","6,233,000"
Gross Profit,"4,036,000","3,723,000","2,854,000","2,942,000","3,008,000"
Operating Expense,"3,187,000","2,667,000","1,301,000","1,450,000","1,710,000"
Operating Income,"849,000","1,056,000","1,553,000","1,492,000","1,298,000"
Net Non Operating Interest Income Expense,"-342,000","-337,000","-297,000","-337,000","-383,000"
Other Income Expense,"-293,000","-306,000","-152,000","-119,000","-9,000"
Pretax Income,"214,000","413,000","1,104,000","1,036,000","906,000"
Tax Provision,"38,000","100,000","208,000","-319,000","317,000"
Earnings from Equity Interest Net of Tax,"-4,000","-10,000","-15,000","-3,000",-
Net Income Common Stockholders,"165,000","298,000","846,000","1,319,000","568,000"
Diluted NI Available to Com Stockholders,"165,000","298,000","846,000","1,319,000","568,000"
Basic EPS,-,-,0.0026,0.0038,0.0017
Diluted EPS,-,-,0.0025,0.0038,0.0017
Basic Average Shares,-,-,"328,000","330,000","326,000"
Diluted Average Shares,-,-,"332,000","336,000","330,000"
Total Operating Income as Reported,"762,000","969,000","1,458,000","1,492,000","1,298,000"
Total Expenses,"10,505,000","9,277,000","6,870,000","7,631,000","7,943,000"
Net Income from Continuing & Discontinued Operation,"165,000","298,000","846,000","1,319,000","568,000"
Normalized Income,"165,000","363,946","923,140","1,319,000","567,000"
Interest Income,-,"52,000","17,000","22,000","20,000"
Interest Expense,"394,000","389,000","314,000","359,000","403,000"
Net Interest Income,"-342,000","-337,000","-297,000","-337,000","-383,000"
EBIT,"608,000","802,000","1,418,000","1,395,000","1,309,000"
EBITDA,"3,598,000",-,-,-,-
Reconciled Cost of Revenue,"7,318,000","6,610,000","5,569,000","6,181,000","6,233,000"
Reconciled Depreciation,"2,990,000","2,444,000","1,420,000","1,391,000","1,174,000"
Net Income from Continuing Operation Net Minority Interest,"165,000","298,000","846,000","1,319,000","567,000"
Total Unusual Items Excluding Goodwill,-,"-87,000","-95,000",-,-
Total Unusual Items,-,"-87,000","-95,000",-,-
Normalized EBITDA,"3,598,000","3,333,000","2,933,000","2,786,000","2,483,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,"-21,054","-17,860",0,0
