Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"7,519,000","7,253,000","6,151,000","5,729,000","5,783,000"
Credit Losses Provision,"-1,021,000","-471,000","-237,000","-261,000","-343,000"
Non Interest Expense,"4,615,000","4,528,000","3,809,000","3,639,000","3,603,000"
Income from Associates & Other Participating Interests,"393,000","413,000","84,000","127,000","390,000"
Special Income Charges,"-10,000","535,000","576,000","815,000","-162,000"
Pretax Income,"2,266,000","3,202,000","2,765,000","2,771,000","2,065,000"
Tax Provision,"483,000","690,000","572,000","577,000","505,000"
Net Income Common Stockholders,"1,674,000","2,398,000","2,095,000","2,096,000","1,474,000"
Average Dilution Earnings,-,-,-,"1,000",-
Diluted NI Available to Com Stockholders,"1,674,000","2,398,000","2,095,000","2,097,000","1,474,000"
Basic EPS,-,0.0034,0.0031,0.0029,0.002
Diluted EPS,-,0.0033,0.0031,0.0028,0.0019
Basic Average Shares,-,"710,434","673,346","728,289","757,367"
Diluted Average Shares,-,"720,065","685,488","740,691","764,430"
Rent Expense Supplemental,-,"124,000","76,000","87,000","86,000"
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,"3,923,000","4,326,000","3,903,000","3,537,000","3,272,000"
Net Income from Continuing & Discontinued Operation,"1,783,000","2,512,000","2,193,000","2,194,000","1,564,000"
Normalized Income,"1,790,868","2,092,560","1,736,232","1,548,520","1,686,472"
Reconciled Depreciation,"501,000","472,000","360,000","341,000","453,000"
Net Income from Continuing Operation Net Minority Interest,"1,783,000","2,512,000","2,193,000","2,194,000","1,564,000"
Total Unusual Items Excluding Goodwill,"-10,000","535,000","576,000","815,000","-162,000"
Total Unusual Items,"-10,000","535,000","576,000","815,000","-162,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-2,132","115,560","119,232","169,520","-39,528"
