Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"2,688,116","2,648,848","2,433,492","2,249,538","1,831,546"
Cost of Revenue,"635,258","530,669","487,695","429,613","355,414"
Gross Profit,"2,052,858","2,118,179","1,945,797","1,819,925","1,476,132"
Operating Expense,"895,128","886,842","702,933","762,729","724,961"
Operating Income,"1,157,730","1,231,337","1,242,864","1,057,196","751,171"
Net Non Operating Interest Income Expense,"-146,672","-150,048","-138,494","-107,146","-71,896"
Other Income Expense,"9,819","-3,470","-9,245","-56,460","-36,356"
Pretax Income,"1,020,877","1,077,819","1,095,125","893,590","642,919"
Tax Provision,"150,851","182,746","283,642","153,390","190,534"
Net Income Common Stockholders,"870,026","895,073","811,483","740,200","452,385"
Diluted NI Available to Com Stockholders,"870,026","895,073","811,483","740,200","452,385"
Basic EPS,-,-,0.0091,0.0081,0.0049
Diluted EPS,-,-,0.0088,0.0079,0.0048
Basic Average Shares,-,-,"88,750","91,129","92,597"
Diluted Average Shares,-,-,"92,151","93,594","95,213"
Total Operating Income as Reported,"1,148,237","1,231,430","1,090,698","883,760","754,153"
Total Expenses,"1,530,386","1,417,511","1,190,628","1,192,342","1,080,375"
Net Income from Continuing & Discontinued Operation,"870,026","895,073","811,483","740,200","452,385"
Normalized Income,"861,658","897,953","818,334","786,949","452,385"
Interest Expense,"146,672","150,048","138,494","107,146","71,896"
Net Interest Income,"-146,672","-150,048","-138,494","-107,146","-71,896"
EBIT,"1,167,549","1,227,867","1,233,619","1,000,736","714,815"
EBITDA,"1,438,790",-,-,-,-
Reconciled Cost of Revenue,"635,258","530,669","493,038","435,725","360,579"
Reconciled Depreciation,"271,241","274,210","269,266","258,448","198,091"
Net Income from Continuing Operation Net Minority Interest,"870,026","895,073","811,483","740,200","452,385"
Total Unusual Items Excluding Goodwill,"9,819","-3,470","-9,245","-56,460",0
Total Unusual Items,"9,819","-3,470","-9,245","-56,460",0
Normalized EBITDA,"1,428,971","1,505,547","1,517,473","1,321,756","918,071"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"1,451",-589.9,"-2,394","-9,711",0
