Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"4,609,800","4,609,800","4,727,800","2,878,600","3,282,400"
Cost of Revenue,"2,526,200","2,526,200","2,640,900","1,777,300","2,082,600"
Gross Profit,"2,083,600","2,083,600","2,086,900","1,101,300","1,199,800"
Operating Expense,"1,091,000","1,199,700","1,164,600","776,700","707,800"
Operating Income,"992,600","883,900","922,300","324,600","492,000"
Net Non Operating Interest Income Expense,"-158,500","-158,500","-133,100","-79,100","-82,700"
Other Income Expense,"-179,100","-70,400","-45,500","-64,700","-70,000"
Pretax Income,"655,000","655,000","743,700","180,800","339,300"
Tax Provision,"111,500","111,500","88,800","264,100","93,900"
Net Income Common Stockholders,"475,900","475,900","499,200","535,800","208,400"
Diluted NI Available to Com Stockholders,"475,900","475,900","499,200","535,800","208,400"
Basic EPS,-,0.0036,0.0037,0.004,0.0016
Diluted EPS,-,0.0036,0.0037,0.004,0.0016
Basic Average Shares,-,"130,761","134,406","134,255","133,890"
Diluted Average Shares,-,"132,002","135,879","134,255","134,538"
Total Expenses,"3,617,200","3,725,900","3,805,500","2,554,000","2,790,400"
Net Income from Continuing & Discontinued Operation,"477,400","477,400","502,100","535,800","209,100"
Normalized Income,"592,409","592,409","680,035","-50,860","284,445"
Interest Income,"1,900","1,900","1,400",900,600
Interest Expense,"160,400","160,400","134,500","80,000","83,300"
Net Interest Income,"-158,500","-158,500","-133,100","-79,100","-82,700"
EBIT,"815,400","815,400","878,200","260,800","422,600"
EBITDA,"965,500",-,-,-,-
Reconciled Cost of Revenue,"2,567,300","2,526,200","2,640,900","1,777,300","2,082,600"
Reconciled Depreciation,"150,100","150,100","168,200","113,000","137,100"
Net Income from Continuing Operation Net Minority Interest,"540,700","540,700","645,500","-85,900","242,800"
Total Unusual Items Excluding Goodwill,"-62,300","-62,300","-39,200","-58,400","-57,600"
Total Unusual Items,"-62,300","-62,300","-39,200","-58,400","-57,600"
Normalized EBITDA,"1,041,800","1,027,800","1,085,600","432,200","617,300"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-10,591","-10,591","-4,665","-23,360","-15,955"
