Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,"11,710,000","11,389,000","10,153,000","9,921,000","8,894,000"
Operating Expense,"9,341,000","8,958,000","7,938,000","7,386,000","6,920,000"
Operating Income,"2,369,000","2,431,000","2,215,000","2,535,000","1,974,000"
Net Non Operating Interest Income Expense,"-286,000","-162,000","-43,000","-23,000","-18,000"
Other Income Expense,"398,000","-45,000","-2,000","-271,000","-113,000"
Pretax Income,"2,481,000","2,224,000","2,170,000","2,241,000","1,843,000"
Tax Provision,"650,000","581,000","-58,000","832,000","736,000"
Net Income Common Stockholders,"1,782,000","1,595,000","1,995,000","1,372,000","1,072,000"
Diluted NI Available to Com Stockholders,"1,782,000","1,595,000","1,995,000","1,372,000","1,072,000"
Basic EPS,-,0.0026,0.0032,0.0022,0.0017
Diluted EPS,-,0.0026,0.0032,0.0022,0.0017
Basic Average Shares,-,"621,000","620,000","620,000","620,000"
Diluted Average Shares,-,"621,000","620,000","620,000","620,000"
Total Expenses,"9,341,000","8,958,000","7,938,000","7,386,000","6,920,000"
Net Income from Continuing & Discontinued Operation,"1,782,000","1,595,000","2,187,000","1,372,000","1,072,000"
Normalized Income,"1,421,114","1,554,300","2,149,770","1,475,950","1,135,068"
Interest Income,"66,000","41,000",-,0,-
Interest Expense,"352,000","203,000","43,000","23,000","18,000"
Net Interest Income,"-286,000","-162,000","-43,000","-23,000","-18,000"
EBIT,"2,833,000","2,427,000","2,213,000","2,264,000","1,861,000"
EBITDA,"3,058,000",-,-,-,-
Reconciled Depreciation,"225,000","212,000","171,000","169,000","170,000"
Net Income from Continuing Operation Net Minority Interest,"1,782,000","1,595,000","2,187,000","1,372,000","1,072,000"
Total Unusual Items Excluding Goodwill,"489,000","55,000","51,000","-165,000","-105,000"
Total Unusual Items,"489,000","55,000","51,000","-165,000","-105,000"
Normalized EBITDA,"2,569,000","2,584,000","2,333,000","2,598,000","2,136,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"128,114","14,300","13,770","-61,050","-41,932"
