Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"3,370,178","3,253,989","2,967,465","2,553,147","2,168,559"
Credit Losses Provision,"-110,077","-61,690","-76,092","-60,181","-47,192"
Non Interest Expense,"2,123,420","2,059,063","1,839,631","1,580,764","1,293,771"
Pretax Income,"1,136,681","1,133,236","1,051,742","912,202","827,596"
Tax Provision,"214,257","202,907","197,914","154,542","154,168"
Net Income Common Stockholders,"873,121","881,259","796,103","699,620","604,839"
Diluted NI Available to Com Stockholders,"873,121","881,259","796,103","699,620","604,839"
Basic EPS,-,-,0.0049,0.0044,0.0041
Diluted EPS,-,-,0.0048,0.0043,0.0039
Basic Average Shares,-,-,"162,948","157,624","148,752"
Diluted Average Shares,-,-,"165,612","162,340","154,095"
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,"2,731,184","2,702,477","2,425,016","2,091,282","1,769,970"
Net Income from Continuing & Discontinued Operation,"922,424","930,329","853,828","757,660","673,428"
Normalized Income,"922,424","930,329","853,828","757,660","673,428"
Reconciled Depreciation,"148,434","137,639","114,363","91,954","85,370"
Net Income from Continuing Operation Net Minority Interest,"922,424","930,329","853,828","757,660","673,428"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
