Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"2,260,500","2,156,200","1,801,200","1,494,930","1,275,443"
Cost of Revenue,"521,600","505,900","450,400","385,284","337,837"
Gross Profit,"1,738,900","1,650,300","1,350,800","1,109,646","937,606"
Operating Expense,"1,366,200","1,306,100","1,119,800","999,502","890,665"
Operating Income,"372,700","344,200","231,000","110,144","46,941"
Net Non Operating Interest Income Expense,"41,500","42,500","26,500","13,482","7,303"
Other Income Expense,"21,800","-7,500","-6,600",368,"-11,096"
Pretax Income,"436,000","379,200","250,900","123,994","43,148"
Tax Provision,"64,300","52,700","-81,300","92,595","10,961"
Net Income Common Stockholders,"371,700","326,500","332,200","31,399","32,187"
Diluted NI Available to Com Stockholders,"371,700","326,500","332,200","31,399","32,187"
Basic EPS,-,-,0.002,0,0
Diluted EPS,-,-,0.0019,0,0
Basic Average Shares,-,-,"169,100","174,315","172,621"
Diluted Average Shares,-,-,"174,200","178,079","176,338"
Total Operating Income as Reported,"409,500","344,200","231,000","109,804","42,944"
Total Expenses,"1,887,800","1,812,000","1,570,200","1,384,786","1,228,502"
Net Income from Continuing & Discontinued Operation,"371,700","326,500","332,200","31,399","32,187"
Normalized Income,"340,327","326,500","332,200","31,603","35,185"
Interest Income,"41,500","42,500","26,500","13,482","7,303"
Net Interest Income,"41,500","42,500","26,500","13,482","7,303"
EBIT,"372,700","344,200","231,000","110,144","46,941"
EBITDA,"436,200",-,-,-,-
Reconciled Cost of Revenue,"521,600","505,900","450,400","385,284","337,837"
Reconciled Depreciation,"63,500","61,600","55,700","55,476","48,520"
Net Income from Continuing Operation Net Minority Interest,"371,700","326,500","332,200","31,399","32,187"
Total Unusual Items Excluding Goodwill,"36,800",0,0,-340,"-3,997"
Total Unusual Items,"36,800",0,0,-340,"-3,997"
Normalized EBITDA,"399,400","405,800","286,700","165,960","99,458"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"5,427",0,0,-136,-999.25
