Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"7,440,600","7,320,000","6,452,700","6,656,000","6,224,300"
Cost of Revenue,"3,697,200","3,639,700","3,131,400","3,357,500","3,191,500"
Gross Profit,"3,743,400","3,680,300","3,321,300","3,298,500","3,032,800"
Operating Expense,"2,751,700","2,676,200","2,142,900","1,943,600","1,786,800"
Operating Income,"991,700","1,004,100","1,178,400","1,354,900","1,246,000"
Net Non Operating Interest Income Expense,"-182,500","-164,200","-97,000","-86,000","-49,000"
Other Income Expense,"-55,700","34,600","-3,000","15,300",-
Pretax Income,"753,500","874,500","1,078,400","1,284,200","1,197,000"
Tax Provision,"149,800","149,100","160,100","239,700","324,700"
Net Income Common Stockholders,"547,400","669,900","2,878,900","1,044,500","872,300"
Diluted NI Available to Com Stockholders,"547,400","669,900","2,878,900","1,044,500","872,300"
Basic EPS,-,-,0.0083,0.003,0.0025
Diluted EPS,-,-,0.0082,0.003,0.0025
Basic Average Shares,-,-,"345,500","347,500","345,700"
Diluted Average Shares,-,-,"350,700","352,600","347,300"
Total Operating Income as Reported,"906,400","1,004,100","1,178,400","1,354,900","1,246,000"
Total Expenses,"6,448,900","6,315,900","5,274,300","5,301,100","4,978,300"
Net Income from Continuing & Discontinued Operation,"616,400","738,900","2,913,800","1,044,500","872,300"
Normalized Income,"639,353","691,536","918,300","1,032,061","872,300"
Interest Expense,-,-,"97,000","86,000","49,000"
Net Interest Income,"-182,500","-164,200","-97,000","-86,000","-49,000"
EBIT,"991,700","1,004,100","1,178,400","1,370,200","1,246,000"
EBITDA,"1,453,600",-,-,-,-
Reconciled Cost of Revenue,"3,697,200","3,639,700","3,131,400","3,357,500","3,191,500"
Reconciled Depreciation,"461,900","426,200","260,800","174,100","176,400"
Net Income from Continuing Operation Net Minority Interest,"603,700","725,400","918,300","1,044,500","872,300"
Total Unusual Items Excluding Goodwill,"-44,500","40,800",0,"15,300",0
Total Unusual Items,"-44,500","40,800",0,"15,300",0
Normalized EBITDA,"1,498,100","1,389,500","1,439,200","1,529,000","1,422,400"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-8,847","6,936",0,"2,861",0
