Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"38,838,000","39,350,000","36,193,000","30,973,000","31,353,000"
Cost of Revenue,"31,919,000","32,291,000","29,478,000","24,786,000","25,104,000"
Gross Profit,"6,919,000","7,059,000","6,715,000","6,187,000","6,249,000"
Operating Expense,"2,344,000","2,411,000","2,258,000","2,010,000","1,940,000"
Operating Income,"4,575,000","4,648,000","4,457,000","4,177,000","4,309,000"
Net Non Operating Interest Income Expense,"-450,000","-460,000","-356,000","-103,000","-91,000"
Other Income Expense,"10,000","14,000","-16,000","3,000","13,000"
Pretax Income,"4,135,000","4,202,000","4,085,000","4,077,000","4,231,000"
Tax Provision,"690,000","718,000","727,000","1,165,000","1,169,000"
Net Income Common Stockholders,"3,445,000","3,484,000","3,345,000","2,912,000","2,955,000"
Diluted NI Available to Com Stockholders,"3,445,000","3,484,000","3,345,000","2,912,000","2,955,000"
Basic EPS,-,0.0121,0.0113,0.0097,0.0097
Diluted EPS,-,0.012,0.0112,0.0096,0.0095
Basic Average Shares,-,"288,300","295,300","299,200","304,700"
Diluted Average Shares,-,"290,800","299,200","304,600","310,400"
Total Operating Income as Reported,"4,575,000","4,648,000","4,457,000","4,177,000","4,309,000"
Total Expenses,"34,263,000","34,702,000","31,736,000","26,796,000","27,044,000"
Net Income from Continuing & Discontinued Operation,"3,445,000","3,484,000","3,345,000","2,912,000","2,955,000"
Normalized Income,"3,445,000","3,484,000","3,358,000","2,912,000","3,062,000"
Interest Income,-,"12,000","18,000","14,000","8,000"
Interest Expense,"462,000","472,000","374,000","117,000","99,000"
Net Interest Income,"-450,000","-460,000","-356,000","-103,000","-91,000"
EBIT,"4,597,000","4,674,000","4,459,000","4,194,000","4,330,000"
EBITDA,"5,433,000",-,-,-,-
Reconciled Cost of Revenue,"31,919,000","32,291,000","29,478,000","24,786,000","25,104,000"
Reconciled Depreciation,"836,000","829,000","763,000","441,000","454,000"
Net Income from Continuing Operation Net Minority Interest,"3,445,000","3,484,000","3,358,000","2,912,000","3,062,000"
Normalized EBITDA,"5,433,000","5,503,000","5,222,000","4,635,000","4,784,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
