Breakdown,ttm,5/31/2019,5/31/2018,5/31/2017,5/31/2016
Total Revenue,"16,765,300","16,865,200","15,740,400","15,619,800","16,563,100"
Cost of Revenue,"10,942,200","11,108,400","10,312,900","10,056,000","10,733,600"
Gross Profit,"5,823,100","5,756,800","5,427,500","5,563,800","5,829,500"
Operating Expense,"2,967,700","2,935,800","2,752,600","2,801,300","3,118,900"
Operating Income,"2,855,400","2,821,000","2,674,900","2,762,500","2,710,600"
Net Non Operating Interest Income Expense,"-472,700","-521,800","-373,700","-295,100","-303,800"
Other Income Expense,"100,400","-217,200","-165,600","-196,100","-3,200"
Pretax Income,"2,483,100","2,082,000","2,135,600","2,271,300","2,403,600"
Tax Provision,"395,600","367,800","57,300","655,200","755,200"
Earnings from Equity Interest Net of Tax,"77,500","72,000","84,700","85,000","88,400"
Net Income Common Stockholders,"2,125,700","1,752,700","2,131,000","1,657,500","1,697,400"
Diluted NI Available to Com Stockholders,"2,125,700","1,752,700","2,131,000","1,657,500","1,697,400"
Basic EPS,-,0.0029,0.0037,0.0028,0.0028
Diluted EPS,-,0.0029,0.0036,0.0028,0.0028
Basic Average Shares,-,"600,400","576,800","587,100","598,400"
Diluted Average Shares,-,"605,400","585,700","598,000","611,200"
Total Operating Income as Reported,"2,840,500","2,515,900","2,509,300","2,566,400","2,707,400"
Total Expenses,"13,909,900","14,044,200","13,065,500","12,857,300","13,852,500"
Net Income from Continuing & Discontinued Operation,"2,125,700","1,752,700","2,131,000","1,657,500","1,697,400"
Normalized Income,"2,138,226","2,003,797","2,292,129","1,797,123","1,699,595"
Interest Income,-,"5,600","11,700","7,000","8,100"
Interest Expense,-,"527,400","385,400","302,100","311,900"
Net Interest Income,"-472,700","-521,800","-373,700","-295,100","-303,800"
EBIT,"2,643,800","2,609,400","2,521,000","2,573,400","2,715,500"
EBITDA,"3,255,700",-,-,-,-
Reconciled Cost of Revenue,"10,942,200","11,108,400","10,312,900","10,056,000","10,733,600"
Reconciled Depreciation,"611,900","620,100","618,800","603,600","608,100"
Net Income from Continuing Operation Net Minority Interest,"2,125,700","1,752,700","2,131,000","1,657,500","1,697,400"
Total Unusual Items Excluding Goodwill,"-14,900","-305,100","-165,600","-196,100","-3,200"
Total Unusual Items,"-14,900","-305,100","-165,600","-196,100","-3,200"
Normalized EBITDA,"3,270,600","3,534,600","3,305,400","3,373,100","3,326,800"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-2,374","-54,003","-4,471","-56,477","-1,005"
