Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"11,082,000","11,503,000","11,290,000","10,116,000","9,390,000"
Cost of Revenue,"7,585,000","7,468,000","6,829,000","6,084,000","5,644,000"
Gross Profit,"3,497,000","4,035,000","4,461,000","4,032,000","3,746,000"
Operating Expense,"2,732,000","2,729,000","2,886,000","2,402,000","2,278,000"
Operating Income,"765,000","1,306,000","1,575,000","1,630,000","1,468,000"
Net Non Operating Interest Income Expense,"-213,000","-200,000","-153,000","-110,000","-127,000"
Other Income Expense,"-19,000","110,000","81,000","137,000","2,351,000"
Pretax Income,"533,000","1,216,000","1,503,000","1,657,000","3,692,000"
Tax Provision,"168,000","256,000","437,000","2,154,000","-3,000"
Net Income Common Stockholders,"267,000","862,000","968,000","-595,000","3,597,000"
Average Dilution Earnings,-,"98,000","98,000",-,"98,000"
Diluted NI Available to Com Stockholders,"341,000","960,000","1,066,000","-595,000","3,695,000"
Basic EPS,-,0.0011,0.0012,0,0.0035
Diluted EPS,-,0.0011,0.0011,0,0.0032
Basic Average Shares,-,"776,000","816,000","895,000","1,020,000"
Diluted Average Shares,-,"899,000","941,000","895,000","1,144,000"
Total Operating Income as Reported,"765,000","1,306,000","1,575,000","1,630,000","1,391,000"
Total Expenses,"10,317,000","10,197,000","9,715,000","8,486,000","7,922,000"
Net Income from Continuing & Discontinued Operation,"365,000","960,000","1,066,000","-497,000","3,695,000"
Normalized Income,"274,606","764,328","1,131,937","-424,400","2,404,400"
Interest Income,"20,000","21,000","38,000","45,000","32,000"
Interest Expense,"233,000","221,000","191,000","155,000","159,000"
Net Interest Income,"-213,000","-200,000","-153,000","-110,000","-127,000"
EBIT,"766,000","1,437,000","1,694,000","1,812,000","3,851,000"
EBITDA,"2,316,000",-,-,-,-
Reconciled Cost of Revenue,"6,145,000","6,078,000","5,630,000","5,001,000","4,513,000"
Reconciled Depreciation,"1,550,000","1,503,000","1,293,000","1,158,000","1,195,000"
Net Income from Continuing Operation Net Minority Interest,"365,000","960,000","1,066,000","-497,000","3,695,000"
Total Unusual Items Excluding Goodwill,"132,000","248,000","-93,000","-121,000","2,151,000"
Total Unusual Items,"132,000","248,000","-93,000","-121,000","2,151,000"
Normalized EBITDA,"2,184,000","2,692,000","3,080,000","3,091,000","2,895,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"41,606","52,328","-27,063","-48,400","860,400"
