Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"135,068,000","137,237,000","147,049,000","145,588,000","166,380,000"
Cost of Revenue,"121,812,000","123,265,000","132,954,000","125,997,000","145,125,000"
Gross Profit,"13,256,000","13,972,000","14,095,000","19,591,000","21,255,000"
Operating Expense,"8,362,000","8,491,000","9,650,000","9,575,000","11,710,000"
Operating Income,"4,894,000","5,481,000","4,445,000","10,016,000","9,545,000"
Net Non Operating Interest Income Expense,"-859,000","-353,000","-320,000","-285,000","-387,000"
Other Income Expense,"1,762,000","2,308,000","4,424,000","2,132,000","2,526,000"
Pretax Income,"5,797,000","7,436,000","8,549,000","11,863,000","11,684,000"
Tax Provision,"989,000","769,000","474,000","11,533,000","2,416,000"
Net Income Common Stockholders,"4,709,000","6,581,000","7,916,000","-3,880,000","9,427,000"
Average Dilution Earnings,-,-,-,-,0
Diluted NI Available to Com Stockholders,"4,709,000","6,581,000","7,916,000","-3,880,000","9,427,000"
Basic EPS,-,-,0.0056,-0.0027,0.0061
Diluted EPS,-,-,0.0055,-0.0027,0.006
Basic Average Shares,-,-,"1,411,000","1,465,000","1,540,000"
Diluted Average Shares,-,-,"1,431,000","1,492,000","1,570,000"
Total Operating Income as Reported,"4,894,000","5,481,000","4,445,000","10,016,000","9,545,000"
Total Expenses,"130,174,000","131,756,000","142,604,000","135,572,000","156,835,000"
Net Income from Continuing & Discontinued Operation,"4,869,000","6,732,000","8,014,000","-3,864,000","9,427,000"
Normalized Income,"4,869,000","6,660,240","7,840,190","348,000","9,424,620"
Interest Income,"-65,000","429,000","335,000","290,000","185,000"
Interest Expense,"794,000","782,000","655,000","575,000","572,000"
Net Interest Income,"-859,000","-353,000","-320,000","-285,000","-387,000"
EBIT,"6,591,000","8,218,000","9,204,000","12,438,000","12,256,000"
EBITDA,"19,901,000",-,-,-,-
Reconciled Cost of Revenue,"121,812,000","123,265,000","132,954,000","125,997,000","145,125,000"
Reconciled Depreciation,"13,310,000","14,118,000","13,669,000","12,261,000","10,408,000"
Net Income from Continuing Operation Net Minority Interest,"4,869,000","6,732,000","8,084,000","348,000","9,427,000"
Total Unusual Items Excluding Goodwill,-,"80,000","258,000",0,"3,000"
Total Unusual Items,-,"80,000","258,000",0,"3,000"
Normalized EBITDA,"19,901,000","22,256,000","22,615,000","24,699,000","22,661,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,"8,240","14,190",0,620.3355
