Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"166,677,000","161,857,000","136,819,000","110,855,000","90,272,000"
Cost of Revenue,"74,866,000","71,896,000","59,549,000","45,583,000","35,138,000"
Gross Profit,"91,811,000","89,961,000","77,270,000","65,272,000","55,134,000"
Operating Expense,"56,211,000","54,033,000","45,878,000","36,390,000","31,418,000"
Operating Income,"35,600,000","35,928,000","31,392,000","28,882,000","23,716,000"
Net Non Operating Interest Income Expense,"2,405,000","2,327,000","1,764,000","1,203,000","1,096,000"
Other Income Expense,"1,231,000","1,370,000","1,757,000","-2,892,000","-662,000"
Pretax Income,"39,236,000","39,625,000","34,913,000","27,193,000","24,150,000"
Tax Provision,"4,714,000","5,282,000","4,177,000","14,531,000","4,672,000"
Net Income Common Stockholders,"34,522,000","34,343,000","30,736,000","12,662,000","19,478,000"
Diluted NI Available to Com Stockholders,"34,522,000","34,343,000","30,736,000","12,662,000","19,478,000"
Basic EPS,-,0.0496,0.0442,0.0183,0.0283
Diluted EPS,-,0.0492,0.0437,0.018,0.0279
Basic Average Shares,-,"692,596","695,070","693,049","687,782"
Diluted Average Shares,-,"698,556","703,341","703,444","699,390"
Total Operating Income as Reported,"35,600,000","34,231,000","26,321,000","26,146,000","23,716,000"
Total Expenses,"131,077,000","125,929,000","105,427,000","81,973,000","66,556,000"
Net Income from Continuing & Discontinued Operation,"34,522,000","34,343,000","30,736,000","12,662,000","19,478,000"
Normalized Income,"33,762,685","33,299,132","29,416,880","14,492,600","20,083,250"
Interest Income,"2,491,000","2,427,000","1,878,000","1,312,000","1,220,000"
Interest Expense,"86,000","100,000","114,000","109,000","124,000"
Net Interest Income,"2,405,000","2,327,000","1,764,000","1,203,000","1,096,000"
EBIT,"39,322,000","39,725,000","35,027,000","27,302,000","24,274,000"
EBITDA,"51,598,000",-,-,-,-
Reconciled Cost of Revenue,"74,866,000","71,896,000","59,549,000","45,583,000","35,138,000"
Reconciled Depreciation,"12,276,000","11,781,000","9,035,000","6,915,000","6,144,000"
Net Income from Continuing Operation Net Minority Interest,"34,522,000","34,343,000","30,736,000","12,662,000","19,478,000"
Total Unusual Items Excluding Goodwill,"863,000","1,204,000","1,499,000","-3,051,000","-750,000"
Total Unusual Items,"863,000","1,204,000","1,499,000","-3,051,000","-750,000"
Normalized EBITDA,"50,735,000","50,302,000","42,563,000","37,268,000","31,168,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"103,685","160,132","179,880","-1,220,400","-144,750"
