Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"3,847,563","3,757,505","3,347,444","3,087,004","3,018,665"
Cost of Revenue,"1,558,345","1,523,529","1,367,725","1,303,840","1,339,095"
Gross Profit,"2,289,218","2,233,976","1,979,719","1,783,164","1,679,570"
Operating Expense,"1,317,533","1,288,390","1,201,376","1,114,304","1,055,661"
Operating Income,"971,685","945,586","778,343","668,860","623,909"
Net Non Operating Interest Income Expense,"51,139","52,817","47,147","36,925","33,406"
Other Income Expense,"-24,232","-11,181","-2,243","-23,491","-27,645"
Pretax Income,"998,592","987,222","823,247","682,294","629,670"
Tax Provision,"25,099","34,736","129,167","-12,661","118,856"
Net Income Common Stockholders,"973,493","952,486","694,080","694,955","510,814"
Diluted NI Available to Com Stockholders,"973,493","952,486","694,080","694,955","510,814"
Basic EPS,-,0.005,0.0037,0.0037,0.0027
Diluted EPS,-,0.005,0.0037,0.0037,0.0027
Basic Average Shares,-,"189,931","188,635","187,828","188,818"
Diluted Average Shares,-,"190,899","189,734","188,732","189,343"
Total Operating Income as Reported,"971,685","945,586","778,343","668,860","623,909"
Total Expenses,"2,875,878","2,811,919","2,569,101","2,418,144","2,394,756"
Net Income from Continuing & Discontinued Operation,"973,493","952,486","694,080","694,955","510,814"
Normalized Income,"1,005,211","968,694","700,501","712,022","536,491"
Interest Income,"51,139","52,817","47,147","36,925","33,406"
Net Interest Income,"51,139","52,817","47,147","36,925","33,406"
EBIT,"971,685","945,586","778,343","668,860","623,909"
EBITDA,"1,082,053",-,-,-,-
Reconciled Cost of Revenue,"1,558,345","1,523,529","1,367,725","1,303,840","1,339,095"
Reconciled Depreciation,"110,368","106,175","96,194","86,252","86,340"
Net Income from Continuing Operation Net Minority Interest,"973,493","952,486","694,080","694,955","510,814"
Total Unusual Items Excluding Goodwill,"-32,536","-16,799","-7,616","-22,579","-31,651"
Total Unusual Items,"-32,536","-16,799","-7,616","-22,579","-31,651"
Normalized EBITDA,"1,114,589","1,068,560","882,153","777,691","741,900"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,-817.7725,-591.0829,"-1,195","-5,512","-5,974"
