Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"33,017,000","33,294,000","33,416,000","29,533,000","28,053,000"
Credit Losses Provision,"-1,778,000","-1,065,000","-674,000",-,-
Non Interest Expense,"22,027,000","21,646,000","20,261,000","18,401,000","17,749,000"
Pretax Income,"9,212,000","10,583,000","12,481,000","11,132,000","10,304,000"
Tax Provision,"1,784,000","2,117,000","2,022,000","6,846,000","2,906,000"
Net Income Common Stockholders,"6,838,000","7,897,000","9,860,000","3,685,000","7,087,000"
Diluted NI Available to Com Stockholders,"6,838,000","7,897,000","9,860,000","3,685,000","7,087,000"
Basic EPS,-,0.0212,0.0255,0.0091,0.0165
Diluted EPS,-,0.021,0.0253,0.009,0.0163
Basic Average Shares,-,"371,600","385,400","401,600","427,400"
Diluted Average Shares,-,"375,511","390,200","409,100","435,100"
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,"2,679,000","3,297,000","3,093,000","2,932,000","2,587,000"
Net Income from Continuing & Discontinued Operation,"7,428,000","8,466,000","10,459,000","4,286,000","7,398,000"
Normalized Income,"7,428,000","8,466,000","10,459,000","4,286,000","7,398,000"
Total Money Market Investments,"1,039,000","1,211,000","1,418,000","819,000","1,143,000"
Reconciled Depreciation,"1,773,000","1,704,000","1,328,000","1,152,000","998,000"
Net Income from Continuing Operation Net Minority Interest,"7,428,000","8,466,000","10,459,000","4,286,000","7,398,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
