Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"11,688,000","11,486,000","11,221,000","10,424,858","10,137,204"
Cost of Revenue,"7,265,000","7,089,000","6,873,000","6,327,301","6,022,647"
Gross Profit,"4,423,000","4,397,000","4,348,000","4,097,557","4,114,557"
Operating Expense,"3,365,000","3,135,000","3,190,000","3,048,895","2,995,060"
Operating Income,"1,058,000","1,262,000","1,158,000","1,048,662","1,119,497"
Net Non Operating Interest Income Expense,"-81,000","-79,000","-82,000","-77,888","-65,615"
Other Income Expense,"23,000","26,000","5,000","-35,450","-34,824"
Pretax Income,"1,000,000","1,209,000","1,081,000","935,324","1,019,058"
Tax Provision,"182,000","314,000","258,000","312,881","386,220"
Net Income Common Stockholders,"769,000","849,000","776,000","581,047","600,501"
Average Dilution Earnings,-,-,0,15,21
Diluted NI Available to Com Stockholders,"769,000","849,000","776,000","581,062","600,522"
Basic EPS,-,0.0154,0.0138,0.0101,0.0099
Diluted EPS,-,0.0153,0.0137,0.01,0.0099
Basic Average Shares,-,"54,700","56,143","57,675","60,431"
Diluted Average Shares,-,"54,900","56,534","57,983","60,840"
Total Operating Income as Reported,"1,058,000","1,262,000","1,158,000","1,048,662","1,119,497"
Total Expenses,"10,630,000","10,224,000","10,063,000","9,376,196","9,017,707"
Net Income from Continuing & Discontinued Operation,"769,000","849,000","782,000","585,730","605,928"
Normalized Income,"769,000","849,000","782,000","585,730","605,928"
Interest Income,-,-,"6,000","2,570",717
Interest Expense,"81,000","79,000","88,000","80,458","66,332"
Net Interest Income,"-81,000","-79,000","-82,000","-77,888","-65,615"
EBIT,"1,081,000","1,288,000","1,169,000","1,015,782","1,085,390"
EBITDA,"1,298,000",-,-,-,-
Reconciled Cost of Revenue,"7,265,000","7,089,000","6,873,000","6,327,301","6,022,647"
Reconciled Depreciation,"217,000","229,000","257,000","264,064","248,857"
Net Income from Continuing Operation Net Minority Interest,"769,000","849,000","782,000","585,730","605,928"
Normalized EBITDA,"1,298,000","1,517,000","1,426,000","1,279,846","1,334,247"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
