Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"21,708,000","22,408,000","23,995,000","20,620,000","15,887,000"
Cost of Revenue,"19,352,000","20,123,000","21,009,000","18,355,000","15,023,000"
Gross Profit,"2,356,000","2,285,000","2,986,000","2,265,000","864,000"
Operating Expense,"222,000","227,000","254,000","256,000","228,000"
Operating Income,"2,134,000","2,058,000","2,732,000","2,009,000","636,000"
Net Non Operating Interest Income Expense,"-560,000","-569,000","-554,000","-593,000","-639,000"
Other Income Expense,"-3,784,000","-2,611,000","-364,000","-734,000","-7,622,000"
Pretax Income,"-2,210,000","-1,122,000","1,814,000","682,000","-7,625,000"
Tax Provision,"86,000","7,000","157,000","1,131,000","-1,858,000"
Net Income Common Stockholders,"-2,300,000","-1,131,000","1,656,000","-463,000","-5,763,000"
Diluted NI Available to Com Stockholders,"-2,300,000","-1,131,000","1,656,000","-463,000","-5,763,000"
Basic EPS,-,-0.0013,0.0019,0,-0.0067
Diluted EPS,-,-0.0013,0.0019,0,-0.0067
Basic Average Shares,-,"875,000","875,000","870,000","861,000"
Diluted Average Shares,-,"875,000","877,000","870,000","861,000"
Total Operating Income as Reported,"-1,384,000","-448,000","2,467,000","1,362,000","-6,778,000"
Total Expenses,"19,574,000","20,350,000","21,263,000","18,611,000","15,251,000"
Net Income from Continuing & Discontinued Operation,"-2,300,000","-1,131,000","1,656,000","-463,000","-5,763,000"
Normalized Income,"173,240","499,090","1,897,945","-55,800","-156,016"
Interest Income,-,-,-,-,"59,000"
Interest Expense,-,-,-,-,"698,000"
Net Interest Income,"-560,000","-569,000","-554,000","-593,000","-639,000"
EBIT,"963,000","2,058,000","2,732,000","2,009,000","-6,927,000"
EBITDA,"2,520,000",-,-,-,-
Reconciled Cost of Revenue,"19,352,000","20,123,000","21,009,000","18,355,000","15,023,000"
Reconciled Depreciation,"1,557,000","1,625,000","1,606,000","1,556,000","1,503,000"
Net Income from Continuing Operation Net Minority Interest,"-2,300,000","-1,131,000","1,656,000","-444,000","-5,761,000"
Total Unusual Items Excluding Goodwill,"-3,388,000","-2,233,000","-265,000","-647,000","-7,414,000"
Total Unusual Items,"-3,388,000","-2,233,000","-265,000","-647,000","-7,414,000"
Normalized EBITDA,"5,908,000","5,916,000","4,603,000","4,212,000","1,990,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-914,760","-602,910","-23,055","-258,800","-1,809,016"
