Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"5,093,287","4,720,227","4,579,646","5,209,782","5,019,822"
Cost of Revenue,"2,278,039","2,222,398","2,202,338","2,439,181","2,314,996"
Gross Profit,"2,815,248","2,497,829","2,377,308","2,770,601","2,704,826"
Operating Expense,"2,072,826","1,845,779","2,046,256","1,960,242","1,916,778"
Operating Income,"742,422","652,050","331,052","810,359","788,048"
Net Non Operating Interest Income Expense,"-107,197","-71,771","-68,469","-76,113","-88,038"
Other Income Expense,"-142,492","13,931","7,819","51,904","-7,521"
Pretax Income,"492,733","594,210","270,402","786,150","692,489"
Tax Provision,"66,816","73,756","49,968","389,543","159,338"
Net Income Common Stockholders,"424,090","520,454","220,434","396,607","551,380"
Diluted NI Available to Com Stockholders,"424,090","520,454","220,434","396,607","551,380"
Basic EPS,-,0.0041,0.0018,0.0032,0.0044
Diluted EPS,-,0.0041,0.0017,0.0031,0.0043
Basic Average Shares,-,"127,896","126,132","125,039","125,292"
Diluted Average Shares,-,"128,499","126,890","127,031","126,966"
Total Operating Income as Reported,"592,640","652,050","331,052","810,359","788,048"
Total Expenses,"4,350,865","4,068,177","4,248,594","4,399,423","4,231,774"
Net Income from Continuing & Discontinued Operation,"424,090","520,454","220,434","396,607","551,380"
Normalized Income,"424,090","520,454","220,434","396,607","551,380"
Interest Income,"27,092","30,107","22,357","22,155","9,367"
Interest Expense,"134,289","101,878","90,826","98,268","97,405"
Net Interest Income,"-107,197","-71,771","-68,469","-76,113","-88,038"
EBIT,"627,022","696,088","361,228","884,418","789,894"
EBITDA,"829,442",-,-,-,-
Reconciled Cost of Revenue,"2,147,873","2,088,870","2,063,083","2,296,163","2,195,289"
Reconciled Depreciation,"202,420","180,787","167,958","171,836","154,470"
Net Income from Continuing Operation Net Minority Interest,"424,090","520,454","220,434","396,607","551,380"
Normalized EBITDA,"829,442","876,875","529,186","1,056,254","944,364"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
