Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,-,-,-,"4,309,000","3,519,049"
Credit Losses Provision,-,-,-,"-201,000","-190,802"
Non Interest Expense,-,-,-,"2,714,000","2,408,485"
Pretax Income,-,-,-,"1,394,000","919,762"
Tax Provision,-,-,-,"208,000","207,941"
Net Income Common Stockholders,-,-,-,"1,110,000","646,547"
Average Dilution Earnings,-,-,-,"31,000",0
Diluted NI Available to Com Stockholders,-,-,-,"1,141,000","646,547"
Basic EPS,-,0.0013,0.0012,0.001,0
Diluted EPS,-,0.0013,0.0012,0.001,0
Basic Average Shares,-,"1,038,840","1,046,767","1,084,686","904,438"
Diluted Average Shares,-,"1,056,079","1,046,767","1,136,186","918,790"
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,-,-,-,"2,801,000","2,178,516"
Net Income from Continuing & Discontinued Operation,-,-,-,"1,186,000","711,821"
Normalized Income,-,-,-,"1,186,000","711,821"
Reconciled Depreciation,-,-,-,"413,000","379,772"
Net Income from Continuing Operation Net Minority Interest,-,-,-,"1,186,000","711,821"
Tax Rate for Calcs,-,-,-,0,0
Tax Effect of Unusual Items,-,-,-,0,0
