Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"51,680,000","51,336,000","46,677,000","43,614,000","41,490,000"
Cost of Revenue,"32,594,000","32,041,000","29,149,000","27,375,000","25,830,000"
Gross Profit,"19,086,000","19,295,000","17,528,000","16,239,000","15,660,000"
Operating Expense,"12,260,000","12,077,000","10,886,000","10,182,000","9,462,000"
Operating Income,"6,826,000","7,218,000","6,642,000","6,057,000","6,198,000"
Net Non Operating Interest Income Expense,"-1,791,000","-1,824,000","-1,755,000","-1,690,000","-1,707,000"
Other Income Expense,"-441,000","-150,000","448,000","14,000","319,000"
Pretax Income,"4,594,000","5,244,000","5,335,000","4,381,000","4,810,000"
Tax Provision,"932,000","1,099,000","946,000","1,638,000","1,378,000"
Net Income Common Stockholders,"3,047,000","3,505,000","3,787,000","2,216,000","2,890,000"
Diluted NI Available to Com Stockholders,"3,047,000","3,505,000","3,787,000","2,216,000","2,890,000"
Basic EPS,-,0.0104,0.011,0.0063,0.0078
Diluted EPS,-,0.0101,0.0107,0.006,0.0073
Basic Average Shares,-,"338,446","342,895","350,092","370,536"
Diluted Average Shares,-,"348,226","355,303","372,221","395,851"
Total Expenses,"44,854,000","44,118,000","40,035,000","37,557,000","35,292,000"
Net Income from Continuing & Discontinued Operation,"3,047,000","3,505,000","3,787,000","2,216,000","2,890,000"
Normalized Income,"3,429,621","3,657,470","3,442,163","2,235,409","2,710,595"
Interest Expense,"1,791,000","1,824,000","1,755,000","1,690,000","1,707,000"
Net Interest Income,"-1,791,000","-1,824,000","-1,755,000","-1,690,000","-1,707,000"
EBIT,"6,385,000","7,068,000","7,090,000","6,071,000","6,517,000"
EBITDA,"9,036,000",-,-,-,-
Reconciled Cost of Revenue,"32,594,000","32,041,000","29,149,000","27,375,000","25,830,000"
Reconciled Depreciation,"2,651,000","2,596,000","2,278,000","2,131,000","1,966,000"
Net Income from Continuing Operation Net Minority Interest,"3,047,000","3,505,000","3,787,000","2,216,000","2,890,000"
Total Unusual Items Excluding Goodwill,"-480,000","-193,000","419,000","-31,000","265,000"
Total Unusual Items,"-480,000","-193,000","419,000","-31,000","265,000"
Normalized EBITDA,"9,516,000","9,857,000","8,949,000","8,233,000","8,218,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-97,379","-40,530","74,163","-11,591","85,595"
