Breakdown,ttm,1/31/2020,1/31/2019,1/31/2018,1/31/2017
Total Revenue,"112,104,000","110,225,000","108,203,000","100,904,000","94,595,000"
Cost of Revenue,"73,924,000","72,653,000","71,043,000","66,548,000","62,282,000"
Gross Profit,"38,180,000","37,572,000","37,160,000","34,356,000","32,313,000"
Operating Expense,"22,658,000","21,729,000","21,383,000","19,675,000","18,886,000"
Operating Income,"15,522,000","15,843,000","15,777,000","14,681,000","13,427,000"
Net Non Operating Interest Income Expense,"-1,162,000","-1,128,000","-958,000","-983,000","-936,000"
Other Income Expense,-,-,"-263,000",-,-
Pretax Income,"14,360,000","14,715,000","14,556,000","13,698,000","12,491,000"
Tax Provision,"3,386,000","3,473,000","3,435,000","5,068,000","4,534,000"
Net Income Common Stockholders,"10,974,000","11,242,000","11,121,000","8,630,000","7,957,000"
Diluted NI Available to Com Stockholders,"10,974,000","11,242,000","11,121,000","8,630,000","7,957,000"
Diluted EPS,-,0.0103,0.0097,0.0073,0.0065
Basic Average Shares,-,"1,093,000","1,137,000","1,178,000","1,229,000"
Diluted Average Shares,-,"1,097,000","1,143,000","1,184,000","1,234,000"
Total Operating Income as Reported,"15,522,000","15,843,000","15,530,000","14,681,000","13,427,000"
Total Expenses,"96,582,000","94,382,000","92,426,000","86,223,000","81,168,000"
Net Income from Continuing & Discontinued Operation,"10,974,000","11,242,000","11,121,000","8,630,000","7,957,000"
Normalized Income,"10,974,000","11,242,000","11,309,708","8,630,000","7,957,000"
Interest Income,"75,000","73,000","93,000","74,000","36,000"
Interest Expense,"1,237,000",-,-,-,-
Net Interest Income,"-1,162,000","-1,128,000","-958,000","-983,000","-936,000"
EBIT,"15,597,000","15,916,000","15,607,000","14,755,000","13,463,000"
Reconciled Cost of Revenue,"73,597,000","72,346,000","70,761,000","66,297,000","62,063,000"
Reconciled Depreciation,-,"2,296,000","2,152,000","2,062,000","1,973,000"
Net Income from Continuing Operation Net Minority Interest,"10,974,000","11,242,000","11,121,000","8,630,000","7,957,000"
Total Unusual Items Excluding Goodwill,-,0,"-247,000",-,-
Total Unusual Items,-,0,"-247,000",-,-
Normalized EBITDA,"17,953,000","18,212,000","18,006,000","16,817,000","15,436,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,"-58,292",0,0
