Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"20,756,000","20,740,000","18,955,000","16,974,000","18,300,000"
Total Expenses,"18,627,000","18,180,000","17,202,000","16,251,000","17,496,000"
Pretax Income,"2,129,000","2,560,000","1,753,000","723,000","804,000"
Tax Provision,"401,000","475,000","268,000","985,000","-92,000"
Net Income Common Stockholders,"1,707,000","2,064,000","1,801,000","-3,131,000","896,000"
Diluted NI Available to Com Stockholders,"1,707,000","2,064,000","1,801,000","-3,131,000","896,000"
Basic EPS,-,0.0057,0.005,-0.0086,0.0023
Diluted EPS,-,0.0057,0.005,-0.0086,0.0023
Basic Average Shares,-,"360,900","358,400","363,700","387,700"
Diluted Average Shares,-,"364,900","364,100","370,500","394,800"
Net Income from Continuing & Discontinued Operation,"1,728,000","2,085,000","1,807,000","-3,131,000","896,000"
Normalized Income,"1,728,000","2,158,301","1,490,083","-262,000","896,000"
EBIT,"2,388,000","2,819,000","2,051,000","1,039,000","1,143,000"
Reconciled Depreciation,"477,000","451,000","467,000","399,000","398,000"
Net Income from Continuing Operation Net Minority Interest,"1,728,000","2,085,000","1,485,000","-262,000","896,000"
Total Unusual Items Excluding Goodwill,-,"-90,000","-6,000",-,0
Total Unusual Items,-,"-90,000","-6,000",-,0
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,"-16,699",-917.2847,0,0
Interest Expense,"259,000","259,000","298,000","316,000","339,000"
