Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,"3,324,800","3,367,300","3,217,900","3,058,800","2,832,700"
Cost of Revenue,"1,800,800","2,196,400","1,521,200","1,437,800","1,269,400"
Gross Profit,"1,524,000","1,170,900","1,696,700","1,621,000","1,563,300"
Operating Expense,"1,134,800","1,181,400","1,188,700","1,137,200","1,004,200"
Operating Income,"389,200","-10,500","508,000","483,800","559,100"
Net Non Operating Interest Income Expense,"-128,000","-136,200","-142,400","-149,400","-154,600"
Other Income Expense,"-53,100","-111,000","-784,200","896,100","10,800"
Pretax Income,"208,100","-257,700","-418,600","1,230,500","415,300"
Tax Provision,"-243,000","-54,100","-307,300","475,000","84,500"
Net Income Common Stockholders,"452,900","-203,600","-111,300","755,500","330,800"
Diluted NI Available to Com Stockholders,"452,900","-203,600","-111,300","755,500","330,800"
Basic EPS,-,0,0,0.0027,0.0012
Diluted EPS,-,0,0,0.0026,0.0012
Basic Average Shares,-,"269,413","275,105","279,811","280,213"
Diluted Average Shares,-,"269,413","275,105","285,653","286,156"
Total Operating Income as Reported,"340,100","-123,800","-237,900","1,370,200","548,600"
Total Expenses,"2,935,600","3,377,800","2,709,900","2,575,000","2,273,600"
Net Income from Continuing & Discontinued Operation,"452,900","-203,600","-111,300","755,500","330,800"
Normalized Income,"482,360","-113,461","466,714","213,215","343,393"
Interest Income,"6,000","4,600","6,300","3,800",700
Interest Expense,"134,000","140,800","148,700","153,200","155,300"
Net Interest Income,"-128,000","-136,200","-142,400","-149,400","-154,600"
EBIT,"342,100","-116,900","-269,900","1,383,700","570,600"
EBITDA,"756,900",-,-,-,-
Reconciled Cost of Revenue,"1,429,000","1,785,300","1,100,200","1,051,100","893,700"
Reconciled Depreciation,"414,800","463,100","480,300","449,200","465,400"
Net Income from Continuing Operation Net Minority Interest,"452,900","-203,600","-111,300","755,500","330,800"
Total Unusual Items Excluding Goodwill,"-49,100","-114,100","-791,800","883,200","-15,800"
Total Unusual Items,"-49,100","-114,100","-791,800","883,200","-15,800"
Normalized EBITDA,"806,000","460,300","1,002,200","949,700","1,051,800"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-19,640","-23,961","-213,786","340,915","-3,207"
