Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"36,288,000","36,709,000","41,802,000","40,534,000","39,302,000"
Cost of Revenue,"23,994,000","24,339,000","29,046,000","27,575,000","27,150,000"
Gross Profit,"12,294,000","12,370,000","12,756,000","12,959,000","12,152,000"
Operating Expense,"5,394,000","5,519,000","6,051,000","5,808,000","5,469,000"
Operating Income,"6,900,000","6,851,000","6,705,000","7,151,000","6,683,000"
Net Non Operating Interest Income Expense,"-113,000","-102,000","-150,000","-165,000","-232,000"
Other Income Expense,"865,000","810,000","932,000","-84,000","-4,000"
Pretax Income,"7,652,000","7,559,000","7,487,000","6,902,000","6,447,000"
Tax Provision,"1,252,000","1,329,000","659,000","5,204,000","1,601,000"
Net Income Common Stockholders,"6,308,000","6,143,000","6,765,000","1,655,000","4,809,000"
Diluted NI Available to Com Stockholders,"6,308,000","6,143,000","6,765,000","1,655,000","4,809,000"
Basic EPS,-,-,0.0091,0.0022,0.0063
Diluted EPS,-,-,0.009,0.0021,0.0062
Basic Average Shares,-,-,"743,000","762,100","764,300"
Diluted Average Shares,-,-,"753,000","772,100","775,300"
Total Expenses,"29,388,000","29,858,000","35,097,000","33,383,000","32,619,000"
Net Income from Continuing & Discontinued Operation,"6,308,000","6,143,000","6,765,000","1,655,000","4,809,000"
Normalized Income,"6,206,798","6,044,944","7,000,296","1,670,000","4,684,168"
Interest Income,"232,000","255,000","217,000","151,000","106,000"
Interest Expense,"345,000","357,000","367,000","316,000","338,000"
Net Interest Income,"-113,000","-102,000","-150,000","-165,000","-232,000"
EBIT,"7,997,000","7,916,000","7,854,000","7,218,000","6,785,000"
EBITDA,"9,067,000",-,-,-,-
Reconciled Cost of Revenue,"23,994,000","24,339,000","29,046,000","27,575,000","27,150,000"
Reconciled Depreciation,"1,070,000","1,088,000","1,116,000","1,115,000","1,030,000"
Net Income from Continuing Operation Net Minority Interest,"6,308,000","6,143,000","6,765,000","1,655,000","4,809,000"
Total Unusual Items Excluding Goodwill,"121,000","119,000","-258,000","-25,000","166,000"
Total Unusual Items,"121,000","119,000","-258,000","-25,000","166,000"
Normalized EBITDA,"8,946,000","8,885,000","9,228,000","8,358,000","7,649,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"19,798","20,944","-22,704","-10,000","41,168"
