Breakdown,ttm,10/31/2019,10/31/2018,10/31/2017,10/31/2016
Total Revenue,"57,097,000","58,756,000","58,472,000","52,056,000","48,238,000"
Cost of Revenue,"45,903,000","47,586,000","47,803,000","42,478,000","39,240,000"
Gross Profit,"11,194,000","11,170,000","10,669,000","9,578,000","8,998,000"
Operating Expense,"6,940,000","6,983,000","6,343,000","5,567,000","5,065,000"
Operating Income,"4,254,000","4,187,000","4,326,000","4,011,000","3,933,000"
Net Non Operating Interest Income Expense,"-104,000","-242,000","-312,000","-309,000","212,000"
Other Income Expense,"-1,706,000","-1,422,000","-1,001,000","-426,000","-384,000"
Pretax Income,"2,444,000","2,523,000","3,013,000","3,276,000","3,761,000"
Tax Provision,"-565,000","-629,000","-2,314,000","750,000","1,095,000"
Net Income Common Stockholders,"3,009,000","3,152,000","5,327,000","2,526,000","2,496,000"
Diluted NI Available to Com Stockholders,"3,009,000","3,152,000","5,327,000","2,526,000","2,496,000"
Basic EPS,-,0.0021,0.0033,0.0015,0.0014
Diluted EPS,-,0.0021,0.0033,0.0015,0.0014
Basic Average Shares,-,"1,515,000","1,615,000","1,688,000","1,730,000"
Diluted Average Shares,-,"1,524,000","1,634,000","1,702,000","1,743,000"
Total Operating Income as Reported,"3,714,000","3,877,000","4,064,000","3,519,000","3,549,000"
Total Expenses,"52,843,000","54,569,000","54,146,000","48,045,000","44,305,000"
Net Income from Continuing & Discontinued Operation,"3,009,000","3,152,000","5,327,000","2,526,000","2,496,000"
Normalized Income,"3,403,200","3,378,300","5,610,240","2,959,302","2,937,104"
Interest Expense,-,"242,000","312,000","309,000",-
Net Interest Income,"-104,000","-242,000","-312,000","-309,000","212,000"
EBIT,"2,923,000","2,765,000","3,325,000","3,585,000","3,933,000"
EBITDA,"3,714,000",-,-,-,-
Reconciled Cost of Revenue,"45,225,000","46,958,000","47,355,000","42,125,000","38,924,000"
Reconciled Depreciation,"791,000","744,000","528,000","354,000","332,000"
Net Income from Continuing Operation Net Minority Interest,"3,009,000","3,152,000","5,327,000","2,526,000","2,666,000"
Total Unusual Items Excluding Goodwill,"-540,000","-310,000","-388,000","-562,000","-384,000"
Total Unusual Items,"-540,000","-310,000","-388,000","-562,000","-384,000"
Normalized EBITDA,"4,254,000","3,819,000","4,241,000","4,501,000","4,649,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-145,800","-83,700","-104,760","-128,698","-112,896"
