Breakdown,ttm,10/31/2019,10/31/2018,10/31/2017,10/31/2016
Total Revenue,"9,599,117","9,497,317","9,545,700","9,167,519","9,523,224"
Cost of Revenue,"7,726,180","7,612,669","7,550,267","7,164,356","7,365,049"
Gross Profit,"1,872,938","1,884,648","1,995,433","2,003,163","2,158,175"
Operating Expense,"753,397","727,584","838,205","762,104","871,974"
Operating Income,"1,119,541","1,157,064","1,157,228","1,241,059","1,286,201"
Net Non Operating Interest Income Expense,"9,744","13,450","-17,637","-1,824","-6,680"
Other Income Expense,"32,060","39,201","41,693","39,410","37,694"
Pretax Income,"1,161,345","1,209,715","1,181,284","1,278,645","1,317,215"
Tax Provision,"235,784","230,567","168,702","431,542","426,698"
Net Income Common Stockholders,"925,558","978,806","1,012,140","846,735","890,052"
Diluted NI Available to Com Stockholders,"925,558","978,806","1,012,140","846,735","890,052"
Basic EPS,-,0.0018,0.0019,0.0016,0.0017
Diluted EPS,-,0.0018,0.0019,0.0016,0.0016
Basic Average Shares,-,"534,578","530,742","528,363","529,290"
Diluted Average Shares,-,"545,232","543,869","539,116","542,473"
Total Operating Income as Reported,"1,151,601","1,196,265","1,198,921","1,280,469","1,323,895"
Total Expenses,"8,479,577","8,340,253","8,388,472","7,926,460","8,237,023"
Net Income from Continuing & Discontinued Operation,"925,558","978,806","1,012,140","846,735","890,052"
Normalized Income,"925,558","978,806","1,026,948","846,854","890,716"
Interest Income,"23,126","31,520","8,857","10,859","6,191"
Interest Expense,"13,382","18,070","26,494","12,683","12,871"
Net Interest Income,"9,744","13,450","-17,637","-1,824","-6,680"
EBIT,"1,174,727","1,227,785","1,207,778","1,291,328","1,330,086"
EBITDA,"1,359,110",-,-,-,-
Reconciled Cost of Revenue,"7,726,180","7,612,669","7,550,267","7,164,356","7,365,049"
Reconciled Depreciation,"184,383","165,209","161,858","130,977","131,968"
Net Income from Continuing Operation Net Minority Interest,"925,558","978,806","1,012,140","846,735","890,052"
Total Unusual Items Excluding Goodwill,-,0,"-17,279",-180,-991
Total Unusual Items,-,0,"-17,279",-180,-991
Normalized EBITDA,"1,359,110","1,392,994","1,386,915","1,422,485","1,463,045"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,"-2,471",-60.66,-327.03
