Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"9,985,803","9,985,803","13,201,995","12,461,543","11,571,668"
Cost of Revenue,"6,894,917","6,894,917","9,606,911","9,062,440","8,337,699"
Gross Profit,"3,085,235","3,090,886","3,595,084","3,399,103","3,233,969"
Operating Expense,"2,357,920","2,357,920","2,701,876","2,539,734","2,416,504"
Operating Income,"734,536","732,966","893,208","859,369","817,465"
Net Non Operating Interest Income Expense,"-35,035","-35,035","-57,550","-36,101","-18,618"
Other Income Expense,"-17,624","-17,624","-140,310",-420,"-43,012"
Pretax Income,"680,307","680,307","695,348","822,848","755,835"
Tax Provision,"159,515","159,515","155,492","362,506","217,958"
Earnings from Equity Interest Net of Tax,"204,669","204,669","22,270","-1,049","18,518"
Net Income Common Stockholders,"694,734","694,734","535,881","406,299","506,778"
Diluted NI Available to Com Stockholders,"694,734","694,734","535,881","406,299","506,778"
Basic EPS,-,-,0.0035,0.0026,0.0031
Diluted EPS,-,-,0.0035,0.0026,0.0031
Basic Average Shares,-,-,"152,656","156,787","161,640"
Diluted Average Shares,-,-,"153,707","158,208","163,724"
Total Operating Income as Reported,"718,261","718,261","753,052","859,369","771,574"
Total Expenses,"9,252,837","9,252,837","12,308,787","11,602,174","10,754,203"
Net Income from Continuing & Discontinued Operation,"715,212","694,734","535,881","406,299","506,778"
Normalized Income,"712,321","712,321","644,642","406,299","539,452"
Interest Income,"15,757","15,757","21,236","17,553","13,275"
Interest Expense,"50,792","50,792","78,786","53,654","31,893"
Net Interest Income,"-35,035","-35,035","-57,550","-36,101","-18,618"
EBIT,"731,099","731,099","774,134","876,502","787,728"
EBITDA,"916,041",-,-,-,-
Reconciled Cost of Revenue,"6,894,917","6,894,917","9,606,911","9,062,440","8,337,699"
Reconciled Depreciation,"184,942","184,942","207,560","193,072","169,780"
Net Income from Continuing Operation Net Minority Interest,"701,057","701,057","535,881","406,299","506,778"
Total Unusual Items Excluding Goodwill,"-14,705","-14,705","-140,156",0,"-45,891"
Total Unusual Items,"-14,705","-14,705","-140,156",0,"-45,891"
Normalized EBITDA,"930,746","930,746","1,121,850","1,069,574","1,003,399"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-3,441","-3,441","-31,395",0,"-13,217"
